Company,Sector,,Assets&nbsp;%
ICICI Bank Ltd.,Financials,,7.56
HDFC Bank Ltd.,Financials,,6.65
Reliance Industries Ltd.,Energy,,6.12
State Bank Of India,Financials,,4.55
Larsen & Toubro Ltd.,Infrastructure,,4.54
Bharti Airtel Ltd.,Media and Communications,,3.92
Axis Bank Ltd.,Financials,,3.23
Bajaj Finance Ltd.,Financials,,3.22
NTPC Ltd.,Energy,,2.86
Infosys Ltd.,Technology,,2.63
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,2.51
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.41
Solar Industries India Ltd.,Chemicals,,2.13
Tata Steel Ltd.,Metals,,2.04
Ultratech Cement Ltd.,Construction,,2.00
Sun Pharmaceutical Industries Ltd.,Healthcare,,1.92
Interglobe Aviation Ltd.,Travel,,1.90
Shriram Finance Ltd.,Financials,,1.88
Torrent Pharmaceuticals Ltd.,Healthcare,,1.61
Eternal Ltd.,Retail and Other Services,,1.51
ITC Ltd.,FMCG,,1.48
Kotak Mahindra Bank Ltd.,Financials,,1.48
Bharat Electronics Ltd.,Capital Goods,,1.45
Apollo Hospitals Enterprise Ltd.,Healthcare,,1.40
Hindalco Industries Ltd.,Metals,,1.33
United Spirits Ltd.,FMCG,,1.21
Bharat Petroleum Corporation Ltd.,Energy,,1.19
Cummins India Ltd.,Automobile and Ancillaries,,1.17
Coromandel International Ltd.,Chemicals,,1.17
Tech Mahindra Ltd.,Technology,,1.11
Hindustan Unilever Ltd.,FMCG,,1.09
Godrej Consumer Products Ltd.,FMCG,,1.02
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,,1.02
Bharat Forge Ltd.,Automobile and Ancillaries,,0.98
Power Finance Corporation Ltd.,Financials,,0.92
Apollo Tyres Ltd.,Automobile and Ancillaries,,0.90
Bosch Ltd.,Automobile and Ancillaries,,0.83
Britannia Industries Ltd.,FMCG,,0.69
HDFC Life Insurance Company Ltd.,Financials,,0.67
Schaeffler India Ltd.,Automobile and Ancillaries,,0.65
Poonawalla Fincorp Ltd.,Financials,,0.64
Astra Microwave Products Ltd.,Capital Goods,,0.63
Acme Solar Holdings Ltd.,Energy,,0.61
Oberoi Realty Ltd.,Construction,,0.60
LG Electronics India Ltd.,Consumer Durables,,0.59
V-Guard Industries Ltd.,Capital Goods,,0.57
Persistent Systems Ltd.,Technology,,0.54
Anthem Biosciences Ltd.,Healthcare,,0.54
Mphasis Ltd.,Technology,,0.53
Vishal Mega Mart Ltd.,Retail and Other Services,,0.47
Gujarat Energy Ltd.,Energy,,0.43
Voltas Ltd.,Consumer Durables,,0.38
The India Cements Ltd.,Construction,,0.35
Swiggy Ltd.,Retail and Other Services,,0.31
Mahindra Lifespace Developers Ltd.,Construction,,0.30
Tata Motors Passenger Vehicles Ltd.,Automobile and Ancillaries,,0.29
PG Electroplast Ltd.,Consumer Durables,,0.28
Lenskart Solutions Ltd.,Healthcare,,0.25
Titan Company Ltd.,Retail and Other Services,,0.14
Brainbees Solutions Ltd.,Retail and Other Services,,0.01
Total,,,95.41
Instrument,,,Asset Type,,,Assets&nbsp;%,,
Kotak Liquid Fund(G)-Direct Plan,,,Domestic Mutual Funds Units,,,,1.19,,
Total,,,,,,,1.19,,
Instrument,,,Assets&nbsp;%,,
Tri-Party Repo (TREPS),,,4.05,,
Net Current Asset,,,-0.62,,
Total,,,3.43,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
