Company,Sector,,Assets&nbsp;%
ICICI Bank Ltd.,Financials,,9.55
HDFC Bank Ltd.,Financials,,8.65
Reliance Industries Ltd.,Energy,,5.24
Eternal Ltd.,Retail and Other Services,,4.99
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,4.88
Axis Bank Ltd.,Financials,,4.82
Kotak Mahindra Bank Ltd.,Financials,,4.38
Larsen & Toubro Ltd.,Infrastructure,,3.93
Infosys Ltd.,Technology,,3.34
Bharti Airtel Ltd.,Media and Communications,,2.98
SBI Life Insurance Company Ltd.,Financials,,2.90
Bajaj Finserv Ltd.,Financials,,2.88
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,,2.46
Interglobe Aviation Ltd.,Travel,,2.05
Tata Motors Ltd.,Automobile and Ancillaries,,1.97
HCL Technologies Ltd.,Technology,,1.92
Hindustan Unilever Ltd.,FMCG,,1.87
Ultratech Cement Ltd.,Construction,,1.68
Hindalco Industries Ltd.,Metals,,1.64
Torrent Pharmaceuticals Ltd.,Healthcare,,1.54
HDFC Life Insurance Company Ltd.,Financials,,1.51
Max Healthcare Institute Ltd.,Healthcare,,1.50
State Bank Of India,Financials,,1.49
PB Fintech Ltd.,Financials,,1.37
Tata Consumer Products Ltd.,FMCG,,1.29
Apollo Hospitals Enterprise Ltd.,Healthcare,,1.28
Cholamandalam Investment and Finance Company Ltd.,Financials,,1.25
ABB India Ltd.,Capital Goods,,1.20
Tata Power Company Ltd.,Energy,,1.20
Oberoi Realty Ltd.,Construction,,1.18
Trent Ltd.,Retail and Other Services,,1.12
Asian Paints Ltd.,Chemicals,,1.06
United Spirits Ltd.,FMCG,,1.01
JSW Infrastructure Ltd.,Infrastructure,,1.01
Vishal Mega Mart Ltd.,Retail and Other Services,,0.99
Divi's Laboratories Ltd.,Healthcare,,0.95
Swiggy Ltd.,Retail and Other Services,,0.86
Marico Ltd.,FMCG,,0.86
LG Electronics India Ltd.,Consumer Durables,,0.75
Ashok Leyland Ltd.,Automobile and Ancillaries,,0.69
Oil & Natural Gas Corporation Ltd.,Energy,,0.58
Endurance Technologies Ltd.,Automobile and Ancillaries,,0.40
Cognizant Technology Solutions Corporation,Overseas Equity,,0.37
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,0.26
Total,,,97.85
Instrument,Asset Type,Rating,Assets&nbsp;%
91 Days Treasury Bill - 28-Aug-2026,Treasury Bills,Sov,0.14
Total,,,0.14
Instrument,,,Assets&nbsp;%,,
Call Money,,,2.02,,
Total,,,2.02,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
