Company,Sector,,Assets&nbsp;%
ICICI Bank Ltd.,Financials,,9.46
HDFC Bank Ltd.,Financials,,9.19
Axis Bank Ltd.,Financials,,5.74
ITC Ltd.,FMCG,,5.63
Infosys Ltd.,Technology,,5.00
Bharti Airtel Ltd.,Media and Communications,,4.99
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,4.98
Larsen & Toubro Ltd.,Infrastructure,,4.24
Reliance Industries Ltd.,Energy,,4.18
NTPC Ltd.,Energy,,3.41
Cipla Ltd.,Healthcare,,3.12
HDFC Life Insurance Company Ltd.,Financials,,2.90
SBI Life Insurance Company Ltd.,Financials,,2.67
Ultratech Cement Ltd.,Construction,,2.65
Kotak Mahindra Bank Ltd.,Financials,,2.48
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,2.29
Hero MotoCorp Ltd.,Automobile and Ancillaries,,1.97
DLF Ltd.,Construction,,1.78
Hyundai Motor India Ltd.,Automobile and Ancillaries,,1.59
Indus Towers Ltd.,Media and Communications,,1.43
ICICI Prudential Asset Management Company Ltd.,Financials,,1.25
Petronet LNG Ltd.,Energy,,1.22
GAIL (India) Ltd.,Energy,,1.16
Oil & Natural Gas Corporation Ltd.,Energy,,1.10
ICICI Lombard General Insurance Company Ltd.,Financials,,1.06
United Spirits Ltd.,FMCG,,1.01
Info Edge (India) Ltd.,Technology,,0.94
Jubilant Ingrevia Ltd.,Chemicals,,0.94
Life Insurance Corporation of India,Financials,,0.81
Hindustan Aeronautics Ltd.,Capital Goods,,0.75
State Bank Of India,Financials,,0.74
Ipca Laboratories Ltd.,Healthcare,,0.69
Tata Motors Ltd.,Automobile and Ancillaries,,0.64
Alembic Pharmaceuticals Ltd.,Healthcare,,0.62
Cyient Ltd.,Technology,,0.61
Trent Ltd.,Retail and Other Services,,0.53
Bharat Petroleum Corporation Ltd.,Energy,,0.50
Asian Paints Ltd.,Chemicals,,0.46
Power Finance Corporation Ltd.,Financials,,0.41
Indian Oil Corporation Ltd.,Energy,,0.36
ICICI Prudential Life Insurance Company Ltd.,Financials,,0.18
Total,,,95.68
Instrument,,,Assets&nbsp;%,,
Tri-Party Repo (TREPS),,,5.57,,
Cash & Cash Equivalent,,,0.14,,
Net Current Asset,,,-1.38,,
Total,,,4.33,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
