Company,Sector,,Assets&nbsp;%
HDFC Bank Ltd.,Financials,,9.76
ICICI Bank Ltd.,Financials,,7.24
Reliance Industries Ltd.,Energy,,6.49
Bharti Airtel Ltd.,Media and Communications,,4.31
Larsen & Toubro Ltd.,Infrastructure,,3.64
State Bank Of India,Financials,,3.22
Infosys Ltd.,Technology,,2.82
Axis Bank Ltd.,Financials,,2.74
CG Power and Industrial Solutions Ltd.,Capital Goods,,2.26
Kotak Mahindra Bank Ltd.,Financials,,2.15
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.07
Bajaj Finance Ltd.,Financials,,2.05
Tata Consultancy Services Ltd.,Technology,,1.97
NTPC Ltd.,Energy,,1.90
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,,1.74
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,1.68
ICICI Prudential Asset Management Company Ltd.,Financials,,1.56
Power Grid Corporation Of India Ltd.,Energy,,1.53
Cholamandalam Financial Holdings Ltd.,Financials,,1.50
Coal India Ltd.,Energy,,1.49
Sun Pharmaceutical Industries Ltd.,Healthcare,,1.46
Power Finance Corporation Ltd.,Financials,,1.46
Titan Company Ltd.,Retail and Other Services,,1.38
Grasim Industries Ltd.,Diversified,,1.36
Indus Towers Ltd.,Media and Communications,,1.35
Interglobe Aviation Ltd.,Travel,,1.35
Brigade Hotel Ventures Ltd.,Travel,,1.33
Eternal Ltd.,Retail and Other Services,,1.33
Restaurant Brands Asia Ltd.,Retail and Other Services,,1.29
Indiqube Spaces Ltd.,Miscellaneous,,1.28
Whirlpool Of India Ltd.,Consumer Durables,,1.27
Varun Beverages Ltd.,FMCG,,1.27
DLF Ltd.,Construction,,1.26
SBI Life Insurance Company Ltd.,Financials,,1.22
Bajaj Holdings & Investment Ltd.,Financials,,1.16
Aptus Value Housing Finance India Ltd.,Financials,,1.14
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,,1.08
Tech Mahindra Ltd.,Technology,,1.01
Krishna Institute of Medical Sciences Ltd,Healthcare,,1.01
Sagility Ltd.,Miscellaneous,,0.99
Sambhv Steel Tubes Ltd.,Metals,,0.99
Solarworld Energy Solutions Ltd.,Infrastructure,,0.98
ITC Ltd.,FMCG,,0.90
Euro Pratik Sales Ltd.,Construction,,0.88
GNG Electronics Ltd.,Miscellaneous,,0.78
Trent Ltd.,Retail and Other Services,,0.77
Shadowfax Technologies Ltd.,Logistics,,0.71
Flair Writing Industries Ltd.,FMCG,,0.69
Vedanta Aluminium Metal Ltd.,Metals,,0.68
LTM Ltd.,Technology,,0.67
Tanfac Industries Ltd.,Chemicals,,0.33
JSW Infrastructure Ltd.,Infrastructure,,0.17
Total,,,95.67
Instrument,,,Asset Type,,,Assets&nbsp;%,,
Nifty 50,,,Derivatives-Futures,,,,2.13,,
Total,,,,,,,2.13,,
Instrument,,,Assets&nbsp;%,,
Tri-Party Repo (TREPS),,,2.67,,
Net Current Asset,,,-0.50,,
Total,,,2.17,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
