Company,Sector,,Assets&nbsp;%
ICICI Bank Ltd.,Financials,,7.53
Axis Bank Ltd.,Financials,,6.57
HDFC Bank Ltd.,Financials,,6.18
Bharti Airtel Ltd.,Media and Communications,,5.91
State Bank Of India,Financials,,5.42
Reliance Industries Ltd.,Energy,,4.27
Larsen & Toubro Ltd.,Infrastructure,,3.76
Avenue Supermarts Ltd.,Retail and Other Services,,3.70
Craftsman Automation Ltd.,Automobile and Ancillaries,,3.37
Infosys Ltd.,Technology,,3.35
Kotak Mahindra Bank Ltd.,Financials,,3.18
TVS Motor Company Ltd.,Automobile and Ancillaries,,3.15
Tech Mahindra Ltd.,Technology,,2.74
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.72
Marico Ltd.,FMCG,,2.58
Sedemac Mechatronics Ltd.,Media and Communications,,2.58
Interglobe Aviation Ltd.,Travel,,2.54
Cholamandalam Investment and Finance Company Ltd.,Financials,,2.45
Trent Ltd.,Retail and Other Services,,2.33
NTPC Ltd.,Energy,,2.29
Ultratech Cement Ltd.,Construction,,2.28
SBI Life Insurance Company Ltd.,Financials,,1.92
PI Industries Ltd.,Chemicals,,1.69
The Indian Hotels Company Ltd.,Travel,,1.69
Sun Pharmaceutical Industries Ltd.,Healthcare,,1.43
Jubilant FoodWorks Ltd.,FMCG,,1.43
Swiggy Ltd.,Retail and Other Services,,1.25
Tata Consumer Products Ltd.,FMCG,,1.12
Bank Of Baroda,Financials,,1.04
ICICI Lombard General Insurance Company Ltd.,Financials,,1.01
HCL Technologies Ltd.,Technology,,1.00
Info Edge (India) Ltd.,Technology,,0.75
Eicher Motors Ltd.,Automobile and Ancillaries,,0.75
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,0.54
Bharat Petroleum Corporation Ltd.,Energy,,0.50
Cummins India Ltd.,Automobile and Ancillaries,,0.36
JSW Infrastructure Ltd.,Infrastructure,,0.16
LG Electronics India Ltd.,Consumer Durables,,0.01
Total,,,95.55
Instrument,,,Assets&nbsp;%,,
Tri-Party Repo (TREPS),,,4.13,,
Cash & Cash Equivalent,,,0.34,,
Total,,,4.47,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
