Company,Sector,,Assets&nbsp;%
ICICI Bank Ltd.,Financials,,8.90
HDFC Bank Ltd.,Financials,,6.37
Bharti Airtel Ltd.,Media and Communications,,5.75
Reliance Industries Ltd.,Energy,,4.99
Bajaj Finance Ltd.,Financials,,3.14
State Bank Of India,Financials,,3.10
Axis Bank Ltd.,Financials,,3.07
Adani Energy Solutions Ltd.,Energy,,2.89
Kotak Mahindra Bank Ltd.,Financials,,2.88
Infosys Ltd.,Technology,,2.79
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,,2.64
Larsen & Toubro Ltd.,Infrastructure,,2.55
Sun Pharmaceutical Industries Ltd.,Healthcare,,2.40
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.26
Tata Consultancy Services Ltd.,Technology,,2.25
Interglobe Aviation Ltd.,Travel,,2.23
ICICI Prudential Asset Management Company Ltd.,Financials,,2.00
Tech Mahindra Ltd.,Technology,,1.96
HDFC Asset Management Company Ltd.,Financials,,1.95
JSW Steel Ltd.,Metals,,1.94
Mankind Pharma Ltd.,Healthcare,,1.92
Hindustan Unilever Ltd.,FMCG,,1.91
Ambuja Cements Ltd.,Construction,,1.86
NTPC Ltd.,Energy,,1.71
Eternal Ltd.,Retail and Other Services,,1.70
JSW Cement Ltd.,Construction,,1.70
The Indian Hotels Company Ltd.,Travel,,1.65
Bharat Heavy Electricals Ltd.,Capital Goods,,1.52
Billionbrains Garage Ventures Ltd.,Financials,,1.49
Adani Ports and Special Economic Zone Ltd.,Infrastructure,,1.46
Nestle India Ltd.,FMCG,,1.44
Power Grid Corporation Of India Ltd.,Energy,,1.40
Hindustan Zinc Ltd.,Metals,,1.37
Solar Industries India Ltd.,Chemicals,,1.37
Indus Towers Ltd.,Media and Communications,,1.30
Hyundai Motor India Ltd.,Automobile and Ancillaries,,1.19
Britannia Industries Ltd.,FMCG,,1.19
Bharat Petroleum Corporation Ltd.,Energy,,1.12
Westlife Foodworld Ltd,Retail and Other Services,,1.08
Cipla Ltd.,Healthcare,,1.02
Siemens Ltd.,Capital Goods,,0.76
Honeywell Automation India Ltd.,Consumer Durables,,0.66
Cyient Ltd.,Technology,,0.64
ABB India Ltd.,Capital Goods,,0.52
Total,,,98.04
Instrument,,,Assets&nbsp;%,,
Net Current Asset,,,1.76,,
Repo Instruments,,,0.23,,
Total,,,1.99,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
