Company,Sector,,Assets&nbsp;%
HDFC Bank Ltd.,Financials,,6.15
ICICI Bank Ltd.,Financials,,6.11
Reliance Industries Ltd.,Energy,,5.66
Hitachi Energy India Ltd.,Capital Goods,,5.26
Larsen & Toubro Ltd.,Infrastructure,,4.57
Bharti Airtel Ltd.,Media and Communications,,3.96
State Bank Of India,Financials,,3.09
Kotak Mahindra Bank Ltd.,Financials,,2.75
Eternal Ltd.,Retail and Other Services,,2.50
Sun Pharmaceutical Industries Ltd.,Healthcare,,2.28
Bharat Heavy Electricals Ltd.,Capital Goods,,2.17
NTPC Ltd.,Energy,,2.12
Infosys Ltd.,Technology,,2.10
Tech Mahindra Ltd.,Technology,,1.97
Tata Capital Ltd.,Financials,,1.92
Divi's Laboratories Ltd.,Healthcare,,1.89
Nestle India Ltd.,FMCG,,1.77
Hindustan Zinc Ltd.,Metals,,1.68
Bajaj Finance Ltd.,Financials,,1.58
Vedanta Aluminium Metal Ltd.,Metals,,1.57
Tata Consultancy Services Ltd.,Technology,,1.56
Bosch Ltd.,Automobile and Ancillaries,,1.51
Punjab National Bank,Financials,,1.49
Eicher Motors Ltd.,Automobile and Ancillaries,,1.49
Hindustan Unilever Ltd.,FMCG,,1.48
Ultratech Cement Ltd.,Construction,,1.42
ITC Ltd.,FMCG,,1.41
Titan Company Ltd.,Retail and Other Services,,1.39
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,1.33
Power Grid Corporation Of India Ltd.,Energy,,1.20
Varun Beverages Ltd.,FMCG,,1.19
Axis Bank Ltd.,Financials,,1.18
Hero MotoCorp Ltd.,Automobile and Ancillaries,,1.17
JSW Steel Ltd.,Metals,,1.16
Tata Motors Ltd.,Automobile and Ancillaries,,1.14
LG Electronics India Ltd.,Consumer Durables,,1.14
Torrent Pharmaceuticals Ltd.,Healthcare,,1.13
Bharat Electronics Ltd.,Capital Goods,,1.12
Bajaj Finserv Ltd.,Financials,,1.12
NHPC Ltd.,Energy,,1.05
United Spirits Ltd.,FMCG,,1.04
HDFC Life Insurance Company Ltd.,Financials,,1.01
IndusInd Bank Ltd.,Financials,,0.97
Coal India Ltd.,Energy,,0.92
Oil India Ltd.,Energy,,0.91
Tata Power Company Ltd.,Energy,,0.88
Wipro Ltd.,Technology,,0.87
Escorts Kubota Ltd.,Automobile and Ancillaries,,0.86
Persistent Systems Ltd.,Technology,,0.83
PB Fintech Ltd.,Financials,,0.57
Total,,,95.64
Instrument,Asset Type,Rating,Assets&nbsp;%
364 Days Treasury Bill - 10-Dec-2026,Treasury Bills,Sovereign,0.57
364 Days Treasury Bill - 04-Feb-2027,Treasury Bills,Sovereign,0.45
Total,,,1.02
Instrument,,,Asset Type,,,Assets&nbsp;%,,
Multi Commodity Exchange Of India Ltd.,,,Derivatives-Futures,,,,1.31,,
Shriram Finance Ltd.,,,Derivatives-Futures,,,,0.58,,
Persistent Systems Ltd.,,,Derivatives-Futures,,,,0.10,,
Ultratech Cement Ltd.,,,Derivatives-Futures,,,,-0.12,,
Total,,,,,,,1.87,,
Instrument,,,Assets&nbsp;%,,
Clearing Corporation Of India Ltd.,,,3.21,,
Net Current Asset,,,-1.77,,
Total,,,1.44,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
