Company,Sector,,Assets&nbsp;%
ICICI Bank Ltd.,Financials,,8.40
HDFC Bank Ltd.,Financials,,7.36
Reliance Industries Ltd.,Energy,,5.88
Infosys Ltd.,Technology,,4.19
NTPC Ltd.,Energy,,4.18
State Bank Of India,Financials,,3.71
Larsen & Toubro Ltd.,Infrastructure,,3.33
Bharti Airtel Ltd.,Media and Communications,,3.01
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.95
Sun Pharmaceutical Industries Ltd.,Healthcare,,2.83
Bajaj Finserv Ltd.,Financials,,2.72
Axis Bank Ltd.,Financials,,2.63
Eternal Ltd.,Retail and Other Services,,2.21
JSW Steel Ltd.,Metals,,2.14
Titan Company Ltd.,Retail and Other Services,,1.95
Varun Beverages Ltd.,FMCG,,1.53
SBI Life Insurance Company Ltd.,Financials,,1.40
Grasim Industries Ltd.,Diversified,,1.37
Hindustan Unilever Ltd.,FMCG,,1.30
Kotak Mahindra Bank Ltd.,Financials,,1.28
One97 Communications Ltd.,Financials,,1.26
Bharat Electronics Ltd.,Capital Goods,,1.15
ITC Ltd.,FMCG,,1.13
Adani Ports and Special Economic Zone Ltd.,Infrastructure,,1.10
The Indian Hotels Company Ltd.,Travel,,1.07
Bajaj Auto Ltd.,Automobile and Ancillaries,,1.04
Shriram Finance Ltd.,Financials,,0.99
Coforge Ltd.,Technology,,0.99
Divi's Laboratories Ltd.,Healthcare,,0.98
Ultratech Cement Ltd.,Construction,,0.98
Pidilite Industries Ltd.,Chemicals,,0.88
Dr. Agarwal's Health Care Ltd.,Healthcare,,0.87
Craftsman Automation Ltd.,Automobile and Ancillaries,,0.83
Vishal Mega Mart Ltd.,Retail and Other Services,,0.83
Jubilant Ingrevia Ltd.,Chemicals,,0.81
TVS Motor Company Ltd.,Automobile and Ancillaries,,0.80
RBL Bank Ltd.,Financials,,0.79
Trent Ltd.,Retail and Other Services,,0.79
GE Vernova T&D India Ltd.,Capital Goods,,0.78
Tech Mahindra Ltd.,Technology,,0.76
Astrazeneca Pharma India Ltd.,Healthcare,,0.74
Tata Consultancy Services Ltd.,Technology,,0.73
Godrej Properties Ltd.,Construction,,0.72
Amber Enterprises India Ltd.,Consumer Durables,,0.70
Eicher Motors Ltd.,Automobile and Ancillaries,,0.65
Vedanta Ltd.,Metals,,0.64
Honasa Consumer Ltd.,Miscellaneous,,0.62
Glenmark Pharmaceuticals Ltd.,Healthcare,,0.62
Lodha Developers Ltd.,Construction,,0.61
Cummins India Ltd.,Automobile and Ancillaries,,0.60
Cholamandalam Investment and Finance Company Ltd.,Financials,,0.58
Tube Investments of India Ltd.,Automobile and Ancillaries,,0.58
Max Healthcare Institute Ltd.,Healthcare,,0.58
Poonawalla Fincorp Ltd.,Financials,,0.56
KFin Technologies Ltd.,Financials,,0.54
Canara HSBC Life Insurance Company Ltd.,Financials,,0.54
Prestige Estates Projects Ltd.,Construction,,0.47
Sona BLW Precision Forgings Ltd.,Automobile and Ancillaries,,0.46
Torrent Pharmaceuticals Ltd.,Healthcare,,0.45
Avenue Supermarts Ltd.,Retail and Other Services,,0.44
Tata Power Company Ltd.,Energy,,0.43
Vedanta Power Ltd.,Energy,,0.39
Billionbrains Garage Ventures Ltd.,Financials,,0.39
Vedanta Iron And Steel Ltd.,Metals,,0.39
Vedanta Aluminium Metal Ltd.,Metals,,0.39
Vedanta Oil and Gas Ltd.,Metals,,0.39
Indian Oil Corporation Ltd.,Energy,,0.37
Asian Paints Ltd.,Chemicals,,0.36
JSW Dulux Ltd.,Chemicals,,0.34
Ethos Ltd.,Retail and Other Services,,0.31
Ather Energy Ltd.,Automobile and Ancillaries,,0.29
MTAR Technologies Ltd.,Capital Goods,,0.27
PG Electroplast Ltd.,Consumer Durables,,0.21
Total,,,99.56
Instrument,,,Assets&nbsp;%,,
Tri-Party Repo (TREPS),,,0.21,,
Net Current Asset,,,0.12,,
Cash & Cash Equivalent,,,0.10,,
Total,,,0.43,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
