Company,Sector,,Assets&nbsp;%
ICICI Bank Ltd.,Financials,,7.22
HDFC Bank Ltd.,Financials,,5.98
ICICI Prudential Asset Management Company Ltd.,Financials,,5.33
Larsen & Toubro Ltd.,Infrastructure,,3.89
Bajaj Finance Ltd.,Financials,,3.65
Infosys Ltd.,Technology,,3.50
Eternal Ltd.,Retail and Other Services,,3.30
Interglobe Aviation Ltd.,Travel,,3.30
Bharti Airtel Ltd.,Media and Communications,,3.21
Axis Bank Ltd.,Financials,,2.96
Tech Mahindra Ltd.,Technology,,2.82
Torrent Pharmaceuticals Ltd.,Healthcare,,2.50
Titan Company Ltd.,Retail and Other Services,,2.39
Polycab India Ltd.,Capital Goods,,2.33
Max Healthcare Institute Ltd.,Healthcare,,2.31
Eicher Motors Ltd.,Automobile and Ancillaries,,2.30
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.21
Cholamandalam Investment and Finance Company Ltd.,Financials,,2.16
Coforge Ltd.,Technology,,2.15
CG Power and Industrial Solutions Ltd.,Capital Goods,,2.11
ABB India Ltd.,Capital Goods,,1.96
Poly Medicure Ltd.,Healthcare,,1.59
Ultratech Cement Ltd.,Construction,,1.52
Bank Of Baroda,Financials,,1.51
Ather Energy Ltd.,Automobile and Ancillaries,,1.50
Asian Paints Ltd.,Chemicals,,1.32
Tata Steel Ltd.,Metals,,1.24
Avenue Supermarts Ltd.,Retail and Other Services,,1.22
Shriram Finance Ltd.,Financials,,1.18
Global Health Ltd.,Healthcare,,1.09
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,,1.08
Divi's Laboratories Ltd.,Healthcare,,1.07
Prestige Estates Projects Ltd.,Construction,,1.06
Multi Commodity Exchange Of India Ltd.,Financials,,1.01
Hindustan Aeronautics Ltd.,Capital Goods,,1.01
Delhivery Ltd.,Logistics,,0.98
Vishal Mega Mart Ltd.,Retail and Other Services,,0.96
Tube Investments of India Ltd.,Automobile and Ancillaries,,0.94
Hindalco Industries Ltd.,Metals,,0.93
Home First Finance Company India Ltd.,Financials,,0.90
SRF Ltd.,Chemicals,,0.89
PTC Industries Ltd.,Automobile and Ancillaries,,0.85
Bharat Electronics Ltd.,Capital Goods,,0.79
Trent Ltd.,Retail and Other Services,,0.76
PB Fintech Ltd.,Financials,,0.67
DLF Ltd.,Construction,,0.67
Honeywell Automation India Ltd.,Consumer Durables,,0.64
Aditya Infotech Ltd.,Miscellaneous,,0.60
Dixon Technologies (India) Ltd.,Consumer Durables,,0.57
Jyoti CNC Automation Ltd.,Capital Goods,,0.54
NTPC Green Energy Ltd.,Energy,,0.52
Sai Life Sciences Ltd.,Healthcare,,0.51
Lodha Developers Ltd.,Construction,,0.45
Total,,,98.15
Instrument,,,Assets&nbsp;%,,
Tri-Party Repo (TREPS),,,1.73,,
Net Current Asset,,,0.11,,
Total,,,1.84,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
