Company,Sector,,Assets&nbsp;%
HDFC Bank Ltd.,Financials,,8.80
ICICI Bank Ltd.,Financials,,8.72
Larsen & Toubro Ltd.,Infrastructure,,5.71
Reliance Industries Ltd.,Energy,,5.35
Shriram Finance Ltd.,Financials,,4.88
State Bank Of India,Financials,,4.53
Eternal Ltd.,Retail and Other Services,,3.65
Bharti Airtel Ltd.,Media and Communications,,3.57
Axis Bank Ltd.,Financials,,2.97
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.96
Interglobe Aviation Ltd.,Travel,,2.96
Infosys Ltd.,Technology,,2.76
Polycab India Ltd.,Capital Goods,,2.75
Apollo Hospitals Enterprise Ltd.,Healthcare,,2.39
Tata Motors Ltd.,Automobile and Ancillaries,,2.33
Mankind Pharma Ltd.,Healthcare,,2.10
Varun Beverages Ltd.,FMCG,,2.10
Swiggy Ltd.,Retail and Other Services,,1.98
Kotak Mahindra Bank Ltd.,Financials,,1.95
TVS Motor Company Ltd.,Automobile and Ancillaries,,1.91
Ultratech Cement Ltd.,Construction,,1.86
HDFC Asset Management Company Ltd.,Financials,,1.83
Titan Company Ltd.,Retail and Other Services,,1.82
Bajaj Finance Ltd.,Financials,,1.66
Delhivery Ltd.,Logistics,,1.30
NTPC Ltd.,Energy,,1.28
Max Healthcare Institute Ltd.,Healthcare,,1.24
Trent Ltd.,Retail and Other Services,,1.22
FSN E-Commerce Ventures Ltd.,Retail and Other Services,,1.20
Hindustan Petroleum Corporation Ltd.,Energy,,1.09
Tech Mahindra Ltd.,Technology,,0.97
SBI Life Insurance Company Ltd.,Financials,,0.97
HCL Technologies Ltd.,Technology,,0.89
Sun Pharmaceutical Industries Ltd.,Healthcare,,0.77
United Spirits Ltd.,FMCG,,0.74
Divi's Laboratories Ltd.,Healthcare,,0.73
LG Electronics India Ltd.,Consumer Durables,,0.64
Meesho Ltd.,Retail and Other Services,,0.64
Sterlite Technologies Ltd.,Capital Goods,,0.51
Total,,,95.73
Instrument,,,Assets&nbsp;%,,
Net Current Asset,,,3.37,,
Tri-Party Repo (TREPS),,,0.93,,
Total,,,4.30,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
