Company,Sector,,Assets&nbsp;%
HDFC Bank Ltd.,Financials,,9.01
ICICI Bank Ltd.,Financials,,7.61
Reliance Industries Ltd.,Energy,,6.99
Bharti Airtel Ltd.,Media and Communications,,4.08
State Bank Of India,Financials,,4.08
Divi's Laboratories Ltd.,Healthcare,,3.96
Shriram Finance Ltd.,Financials,,3.56
Grasim Industries Ltd.,Diversified,,3.25
Axis Bank Ltd.,Financials,,3.23
Asian Paints Ltd.,Chemicals,,3.13
Tata Steel Ltd.,Metals,,3.12
LG Electronics India Ltd.,Consumer Durables,,2.92
Apollo Hospitals Enterprise Ltd.,Healthcare,,2.90
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,,2.89
Torrent Pharmaceuticals Ltd.,Healthcare,,2.86
Larsen & Toubro Ltd.,Infrastructure,,2.86
ABB India Ltd.,Capital Goods,,2.85
Kotak Mahindra Bank Ltd.,Financials,,2.56
Godrej Consumer Products Ltd.,FMCG,,2.51
TVS Motor Company Ltd.,Automobile and Ancillaries,,2.11
Titan Company Ltd.,Retail and Other Services,,1.97
Vedanta Aluminium Metal Ltd.,Metals,,1.93
Infosys Ltd.,Technology,,1.91
DLF Ltd.,Construction,,1.60
Bajaj Auto Ltd.,Automobile and Ancillaries,,1.56
Trent Ltd.,Retail and Other Services,,1.51
Eternal Ltd.,Retail and Other Services,,1.19
Interglobe Aviation Ltd.,Travel,,1.11
Nestle India Ltd.,FMCG,,1.09
JIO Financial Services Ltd.,Financials,,0.96
Adani Ports and Special Economic Zone Ltd.,Infrastructure,,0.96
IndusInd Bank Ltd.,Financials,,0.94
Bajaj Finance Ltd.,Financials,,0.91
The Indian Hotels Company Ltd.,Travel,,0.88
Vedanta Power Ltd.,Energy,,0.70
Sun Pharmaceutical Industries Ltd.,Healthcare,,0.49
Vedanta Iron And Steel Ltd.,Metals,,0.11
Total,,,96.30
Instrument,,,Assets&nbsp;%,,
Clearing Corporation Of India Ltd.,,,3.52,,
Net Current Asset,,,0.21,,
Total,,,3.73,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
