Company,Sector,,Assets&nbsp;%
HDFC Bank Ltd.,Financials,,7.40
ICICI Bank Ltd.,Financials,,7.38
Reliance Industries Ltd.,Energy,,5.54
Larsen & Toubro Ltd.,Infrastructure,,4.63
Bharti Airtel Ltd.,Media and Communications,,3.66
Axis Bank Ltd.,Financials,,2.92
State Bank Of India,Financials,,2.86
Sun Pharmaceutical Industries Ltd.,Healthcare,,2.82
Bajaj Finance Ltd.,Financials,,2.67
Titan Company Ltd.,Retail and Other Services,,2.59
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.54
NTPC Ltd.,Energy,,2.15
Apollo Hospitals Enterprise Ltd.,Healthcare,,2.06
ITC Ltd.,FMCG,,2.00
Tech Mahindra Ltd.,Technology,,1.84
Ultratech Cement Ltd.,Construction,,1.66
Infosys Ltd.,Technology,,1.58
Craftsman Automation Ltd.,Automobile and Ancillaries,,1.58
Anthem Biosciences Ltd.,Healthcare,,1.52
Tata Consultancy Services Ltd.,Technology,,1.51
Solar Industries India Ltd.,Chemicals,,1.47
Marico Ltd.,FMCG,,1.29
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,1.28
GE Vernova T&D India Ltd.,Capital Goods,,1.21
Bharat Electronics Ltd.,Capital Goods,,1.19
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,,1.16
Krishna Institute of Medical Sciences Ltd,Healthcare,,1.13
Torrent Pharmaceuticals Ltd.,Healthcare,,1.03
Schaeffler India Ltd.,Automobile and Ancillaries,,1.02
Lupin Ltd.,Healthcare,,1.00
Grasim Industries Ltd.,Diversified,,0.98
Interglobe Aviation Ltd.,Travel,,0.95
Kotak Mahindra Bank Ltd.,Financials,,0.93
ICICI Prudential Asset Management Company Ltd.,Financials,,0.93
Cummins India Ltd.,Automobile and Ancillaries,,0.86
Hindustan Unilever Ltd.,FMCG,,0.84
Nestle India Ltd.,FMCG,,0.81
Eternal Ltd.,Retail and Other Services,,0.78
Avenue Supermarts Ltd.,Retail and Other Services,,0.75
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,,0.71
Info Edge (India) Ltd.,Technology,,0.71
Coal India Ltd.,Energy,,0.67
Power Grid Corporation Of India Ltd.,Energy,,0.67
Asian Paints Ltd.,Chemicals,,0.66
Sona BLW Precision Forgings Ltd.,Automobile and Ancillaries,,0.65
Laurus Labs Ltd.,Healthcare,,0.65
Muthoot Finance Ltd.,Financials,,0.63
Coforge Ltd.,Technology,,0.63
Persistent Systems Ltd.,Technology,,0.61
Steel Authority Of India Ltd.,Metals,,0.59
Aptus Value Housing Finance India Ltd.,Financials,,0.58
Oil & Natural Gas Corporation Ltd.,Energy,,0.56
Tata Steel Ltd.,Metals,,0.52
NMDC Ltd.,Energy,,0.52
HDFC Life Insurance Company Ltd.,Financials,,0.52
Alkem Laboratories Ltd.,Healthcare,,0.52
ABB India Ltd.,Capital Goods,,0.51
Hitachi Energy India Ltd.,Capital Goods,,0.51
Bharat Petroleum Corporation Ltd.,Energy,,0.51
Polycab India Ltd.,Capital Goods,,0.50
Cholamandalam Investment and Finance Company Ltd.,Financials,,0.50
Abbott India Ltd.,Healthcare,,0.50
CG Power and Industrial Solutions Ltd.,Capital Goods,,0.49
Fortis Healthcare Ltd.,Healthcare,,0.49
TVS Motor Company Ltd.,Automobile and Ancillaries,,0.49
Dabur India Ltd.,FMCG,,0.49
Glenmark Pharmaceuticals Ltd.,Healthcare,,0.46
Tata Power Company Ltd.,Energy,,0.45
Ashok Leyland Ltd.,Automobile and Ancillaries,,0.45
Hindalco Industries Ltd.,Metals,,0.41
Eicher Motors Ltd.,Automobile and Ancillaries,,0.39
Hindustan Petroleum Corporation Ltd.,Energy,,0.18
Indian Bank,Financials,,0.02
Kwality Wall's (India) Ltd.,FMCG,,0.01
Total,,,98.28
Instrument,Asset Type,Rating,Assets&nbsp;%
364 Days Treasury Bill - 16-Jul-2026,Treasury Bills,Sov,0.24
91 Days Treasury Bill -  20-Aug-2026,Treasury Bills,Sov,0.21
Total,,,0.45
Instrument,,,Asset Type,,,Assets&nbsp;%,,
TVS Motors Ltd. - (Prefernece Shares),,,Preference Shares,,,,0.01,,
Total,,,,,,,0.01,,
Instrument,,,Assets&nbsp;%,,
Net Current Asset,,,1.11,,
Clearing Corporation Of India Ltd.,,,0.16,,
Other Assets,,,0.00,,
Total,,,1.27,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
