Company,Sector,,Assets&nbsp;%
ICICI Bank Ltd.,Financials,,9.34
HDFC Bank Ltd.,Financials,,8.14
Larsen & Toubro Ltd.,Infrastructure,,5.70
Bharti Airtel Ltd.,Media and Communications,,4.47
Axis Bank Ltd.,Financials,,4.08
State Bank Of India,Financials,,3.97
Interglobe Aviation Ltd.,Travel,,3.51
Tata Motors Passenger Vehicles Ltd.,Automobile and Ancillaries,,2.71
SBI Life Insurance Company Ltd.,Financials,,2.60
Eternal Ltd.,Retail and Other Services,,2.60
Bajaj Finance Ltd.,Financials,,2.40
Trent Ltd.,Retail and Other Services,,2.27
Hindustan Unilever Ltd.,FMCG,,2.25
Titan Company Ltd.,Retail and Other Services,,2.14
ITC Ltd.,FMCG,,2.11
Eicher Motors Ltd.,Automobile and Ancillaries,,2.07
Reliance Industries Ltd.,Energy,,1.95
Apollo Hospitals Enterprise Ltd.,Healthcare,,1.88
Sun Pharmaceutical Industries Ltd.,Healthcare,,1.82
Bharat Dynamics Ltd.,Capital Goods,,1.77
Hitachi Energy India Ltd.,Capital Goods,,1.76
Ultratech Cement Ltd.,Construction,,1.66
Shriram Finance Ltd.,Financials,,1.55
Jindal Stainless Ltd.,Metals,,1.51
The Indian Hotels Company Ltd.,Travel,,1.51
Pidilite Industries Ltd.,Chemicals,,1.51
Divi's Laboratories Ltd.,Healthcare,,1.48
NTPC Ltd.,Energy,,1.48
Persistent Systems Ltd.,Technology,,1.38
Bharat Electronics Ltd.,Capital Goods,,1.37
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,1.34
Muthoot Finance Ltd.,Financials,,1.33
Godfrey Phillips India Ltd.,FMCG,,1.26
Coforge Ltd.,Technology,,1.24
Grasim Industries Ltd.,Diversified,,1.23
Tata Steel Ltd.,Metals,,1.10
Nippon Life India Asset Management Ltd.,Financials,,1.10
Tata Motors Ltd.,Automobile and Ancillaries,,1.02
Ujjivan Small Finance Bank Ltd.,Financials,,1.00
Allied Blenders And Distillers Ltd.,FMCG,,0.93
MOIL Ltd.,Energy,,0.89
Blue Star Ltd.,Consumer Durables,,0.88
Total,,,96.31
Instrument,,,Assets&nbsp;%,,
Tri-Party Repo (TREPS),,,3.46,,
Net Current Asset,,,0.22,,
Total,,,3.68,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
