Company,Sector,,Assets&nbsp;%
HDFC Bank Ltd.,Financials,,9.99
ICICI Bank Ltd.,Financials,,9.96
Bharti Airtel Ltd.,Media and Communications,,5.16
Nestle India Ltd.,FMCG,,4.05
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,3.39
Reliance Industries Ltd.,Energy,,3.26
Kotak Mahindra Bank Ltd.,Financials,,3.20
Eternal Ltd.,Retail and Other Services,,3.00
Bharat Electronics Ltd.,Capital Goods,,2.86
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,2.56
Titan Company Ltd.,Retail and Other Services,,2.34
State Bank Of India,Financials,,2.23
Larsen & Toubro Ltd.,Infrastructure,,1.77
Sun Pharmaceutical Industries Ltd.,Healthcare,,1.57
Hindalco Industries Ltd.,Metals,,1.41
Solar Industries India Ltd.,Chemicals,,1.21
Muthoot Finance Ltd.,Financials,,1.20
CG Power and Industrial Solutions Ltd.,Capital Goods,,1.19
Power Finance Corporation Ltd.,Financials,,1.17
Bharat Heavy Electricals Ltd.,Capital Goods,,1.16
Bajaj Finserv Ltd.,Financials,,1.13
Axis Bank Ltd.,Financials,,1.12
Pidilite Industries Ltd.,Chemicals,,1.11
Cholamandalam Investment and Finance Company Ltd.,Financials,,1.06
Billionbrains Garage Ventures Ltd.,Financials,,1.06
Asian Paints Ltd.,Chemicals,,1.05
Max Financial Services Ltd.,Financials,,1.03
Tata Steel Ltd.,Metals,,1.01
NTPC Ltd.,Energy,,0.99
Tata Capital Ltd.,Financials,,0.93
JSW Infrastructure Ltd.,Infrastructure,,0.84
Tata Consumer Products Ltd.,FMCG,,0.84
Cummins India Ltd.,Automobile and Ancillaries,,0.83
Tata Consultancy Services Ltd.,Technology,,0.80
Max Healthcare Institute Ltd.,Healthcare,,0.79
Bajaj Finance Ltd.,Financials,,0.75
Lenskart Solutions Ltd.,Healthcare,,0.75
Navin Fluorine International Ltd.,Chemicals,,0.66
Cipla Ltd.,Healthcare,,0.66
Oil & Natural Gas Corporation Ltd.,Energy,,0.63
Aadhar Housing Finance Ltd.,Financials,,0.60
Coforge Ltd.,Technology,,0.55
FSN E-Commerce Ventures Ltd.,Retail and Other Services,,0.52
Varun Beverages Ltd.,FMCG,,0.48
Ambuja Cements Ltd.,Construction,,0.42
Oil India Ltd.,Energy,,0.41
Poly Medicure Ltd.,Healthcare,,0.40
TBO Tek Ltd.,Travel,,0.38
ICICI Prudential Asset Management Company Ltd.,Financials,,0.34
Eicher Motors Ltd.,Automobile and Ancillaries,,0.30
Vedanta Aluminium Metal Ltd.,Metals,,0.23
Info Edge (India) Ltd.,Technology,,0.20
Persistent Systems Ltd.,Technology,,0.04
Torrent Pharmaceuticals Ltd.,Healthcare,,0.03
Infosys Ltd.,Technology,,0.01
Tech Mahindra Ltd.,Technology,,0.00
LTM Ltd.,Technology,,0.00
Trent Ltd.,Retail and Other Services,,0.00
Total,,,85.63
Instrument,Asset Type,Rating,Assets&nbsp;%
91 Days Treasury Bill -  10-Sep-2026,Treasury Bills,Sovereign,0.98
182 Days Treasury Bill - 06-Aug-2026,Treasury Bills,Sovereign,0.82
364 Days Treasury Bill - 17-Sep-2026,Treasury Bills,Sovereign,0.80
91 Days Treasury Bill - 03-Sep-2026,Treasury Bills,Sovereign,0.57
91 Days Treasury Bill -  20-Aug-2026,Treasury Bills,Sovereign,0.48
91 Days Treasury Bill - 17-Sep-2026,Treasury Bills,Sovereign,0.42
91 Days Treasury Bill -  06-Aug-2026,Treasury Bills,Sovereign,0.41
Total,,,4.48
Instrument,,,Asset Type,,,Assets&nbsp;%,,
Nexus Select Trust,,,REITs & InvITs,,,,1.26,,
Embassy Office Parks REIT,,,REITs & InvITs,,,,0.87,,
Raajmarg Infra Investment Trust,,,REITs & InvITs,,,,0.73,,
Citius Transnet Investment Trust,,,REITs & InvITs,,,,0.48,,
National Highways Infra Trust,,,REITs & InvITs,,,,0.31,,
Anantam Highways Trust,,,REITs & InvITs,,,,0.13,,
Total,,,,,,,3.78,,
Instrument,,,Assets&nbsp;%,,
Clearing Corporation Of India Ltd.,,,5.64,,
Net Current Asset,,,0.49,,
Total,,,6.13,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
