Company,Sector,,Assets&nbsp;%
HDFC Bank Ltd.,Financials,,9.02
ICICI Bank Ltd.,Financials,,7.26
Reliance Industries Ltd.,Energy,,6.45
Bharti Airtel Ltd.,Media and Communications,,4.19
Larsen & Toubro Ltd.,Infrastructure,,3.59
State Bank Of India,Financials,,3.14
Axis Bank Ltd.,Financials,,2.85
Infosys Ltd.,Technology,,2.59
Kotak Mahindra Bank Ltd.,Financials,,2.13
ITC Ltd.,FMCG,,2.04
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.02
Bajaj Finance Ltd.,Financials,,1.99
Tata Consultancy Services Ltd.,Technology,,1.53
Sun Pharmaceutical Industries Ltd.,Healthcare,,1.46
Eternal Ltd.,Retail and Other Services,,1.41
Hindustan Unilever Ltd.,FMCG,,1.39
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,1.37
Titan Company Ltd.,Retail and Other Services,,1.34
NTPC Ltd.,Energy,,1.25
Tata Steel Ltd.,Metals,,1.15
Bharat Electronics Ltd.,Capital Goods,,1.09
Shriram Finance Ltd.,Financials,,1.08
Hindalco Industries Ltd.,Metals,,1.02
Adani Ports and Special Economic Zone Ltd.,Infrastructure,,0.99
Ultratech Cement Ltd.,Construction,,0.98
Power Grid Corporation Of India Ltd.,Energy,,0.96
Interglobe Aviation Ltd.,Travel,,0.90
Asian Paints Ltd.,Chemicals,,0.88
Grasim Industries Ltd.,Diversified,,0.87
JSW Steel Ltd.,Metals,,0.85
HCL Technologies Ltd.,Technology,,0.83
Trent Ltd.,Retail and Other Services,,0.81
Bajaj Auto Ltd.,Automobile and Ancillaries,,0.79
Bajaj Finserv Ltd.,Financials,,0.76
Coal India Ltd.,Energy,,0.75
Nestle India Ltd.,FMCG,,0.74
Eicher Motors Ltd.,Automobile and Ancillaries,,0.72
Adani Power Ltd.,Energy,,0.68
Oil & Natural Gas Corporation Ltd.,Energy,,0.67
Apollo Hospitals Enterprise Ltd.,Healthcare,,0.66
Tech Mahindra Ltd.,Technology,,0.66
Tata Motors Ltd.,Automobile and Ancillaries,,0.65
Adani Enterprises Ltd.,Miscellaneous,,0.64
Divi's Laboratories Ltd.,Healthcare,,0.62
Max Healthcare Institute Ltd.,Healthcare,,0.62
Hindustan Aeronautics Ltd.,Capital Goods,,0.61
Dr. Reddy's Laboratories Ltd.,Healthcare,,0.61
Cipla Ltd.,Healthcare,,0.61
TVS Motor Company Ltd.,Automobile and Ancillaries,,0.60
SBI Life Insurance Company Ltd.,Financials,,0.59
JIO Financial Services Ltd.,Financials,,0.57
Cholamandalam Investment and Finance Company Ltd.,Financials,,0.57
Cummins India Ltd.,Automobile and Ancillaries,,0.56
Tata Motors Passenger Vehicles Ltd.,Automobile and Ancillaries,,0.54
Tata Consumer Products Ltd.,FMCG,,0.52
Varun Beverages Ltd.,FMCG,,0.51
Avenue Supermarts Ltd.,Retail and Other Services,,0.49
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,,0.48
CG Power and Industrial Solutions Ltd.,Capital Goods,,0.48
Tata Power Company Ltd.,Energy,,0.48
The Indian Hotels Company Ltd.,Travel,,0.46
HDFC Life Insurance Company Ltd.,Financials,,0.46
Power Finance Corporation Ltd.,Financials,,0.46
Bharat Petroleum Corporation Ltd.,Energy,,0.45
Britannia Industries Ltd.,FMCG,,0.45
HDFC Asset Management Company Ltd.,Financials,,0.40
Adani Energy Solutions Ltd.,Energy,,0.38
Indian Oil Corporation Ltd.,Energy,,0.38
Vedanta Aluminium Metal Ltd.,Metals,,0.38
Adani Green Energy Ltd.,Energy,,0.37
Bank Of Baroda,Financials,,0.37
Pidilite Industries Ltd.,Chemicals,,0.36
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,,0.36
Wipro Ltd.,Technology,,0.36
GAIL (India) Ltd.,Energy,,0.35
Vedanta Ltd.,Metals,,0.35
Solar Industries India Ltd.,Chemicals,,0.34
REC Ltd.,Financials,,0.34
Bajaj Holdings & Investment Ltd.,Financials,,0.34
Canara Bank,Financials,,0.31
Godrej Consumer Products Ltd.,FMCG,,0.30
DLF Ltd.,Construction,,0.29
United Spirits Ltd.,FMCG,,0.29
Jindal Steel Ltd.,Metals,,0.29
ABB India Ltd.,Capital Goods,,0.27
Punjab National Bank,Financials,,0.27
Bosch Ltd.,Automobile and Ancillaries,,0.25
