Company,Sector,,Assets&nbsp;%
ICICI Bank Ltd.,Financials,,9.83
HDFC Bank Ltd.,Financials,,9.35
Bharti Airtel Ltd.,Media and Communications,,5.29
Reliance Industries Ltd.,Energy,,5.01
Infosys Ltd.,Technology,,3.58
Larsen & Toubro Ltd.,Infrastructure,,3.53
Kotak Mahindra Bank Ltd.,Financials,,3.39
Axis Bank Ltd.,Financials,,3.13
Tata Consultancy Services Ltd.,Technology,,2.67
Hindustan Unilever Ltd.,FMCG,,2.56
Bajaj Finserv Ltd.,Financials,,2.47
Eternal Ltd.,Retail and Other Services,,2.42
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.32
TVS Motor Company Ltd.,Automobile and Ancillaries,,2.03
Sun Pharmaceutical Industries Ltd.,Healthcare,,2.02
Avenue Supermarts Ltd.,Retail and Other Services,,1.94
Interglobe Aviation Ltd.,Travel,,1.69
Tech Mahindra Ltd.,Technology,,1.69
Trent Ltd.,Retail and Other Services,,1.59
State Bank Of India,Financials,,1.58
Havells India Ltd.,Capital Goods,,1.56
Eicher Motors Ltd.,Automobile and Ancillaries,,1.52
Titan Company Ltd.,Retail and Other Services,,1.51
Tata Motors Passenger Vehicles Ltd.,Automobile and Ancillaries,,1.51
Nestle India Ltd.,FMCG,,1.47
IndusInd Bank Ltd.,Financials,,1.46
Pidilite Industries Ltd.,Chemicals,,1.43
HDFC Life Insurance Company Ltd.,Financials,,1.40
Shriram Finance Ltd.,Financials,,1.40
Divi's Laboratories Ltd.,Healthcare,,1.32
SRF Ltd.,Chemicals,,1.29
Britannia Industries Ltd.,FMCG,,1.28
Godrej Properties Ltd.,Construction,,1.20
Dr. Reddy's Laboratories Ltd.,Healthcare,,1.18
NTPC Ltd.,Energy,,1.14
Hindustan Aeronautics Ltd.,Capital Goods,,1.13
Tata Capital Ltd.,Financials,,1.09
HDB Financial Services Ltd.,Financials,,1.07
Grasim Industries Ltd.,Diversified,,1.02
Tata Power Company Ltd.,Energy,,1.02
Punjab National Bank,Financials,,0.99
Indus Towers Ltd.,Media and Communications,,0.95
Max Healthcare Institute Ltd.,Healthcare,,0.89
Total,,,96.92
Instrument,,,Asset Type,,,Assets&nbsp;%,,
TVS Motors Ltd. - (Prefernece Shares),,,Preference Shares,,,,0.02,,
Total,,,,,,,0.02,,
Instrument,,,Assets&nbsp;%,,
Tri-Party Repo (TREPS),,,1.90,,
Net Current Asset,,,1.12,,
Clearing Corporation Of India Ltd.,,,0.03,,
Total,,,3.05,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
