Company,Sector,,Assets&nbsp;%
HDFC Bank Ltd.,Financials,,8.57
ICICI Bank Ltd.,Financials,,8.33
Bharti Airtel Ltd.,Media and Communications,,4.92
Reliance Industries Ltd.,Energy,,4.47
Larsen & Toubro Ltd.,Infrastructure,,4.17
State Bank Of India,Financials,,4.11
Kotak Mahindra Bank Ltd.,Financials,,2.92
Bajaj Finance Ltd.,Financials,,2.68
Eternal Ltd.,Retail and Other Services,,2.55
Titan Company Ltd.,Retail and Other Services,,2.46
Varun Beverages Ltd.,FMCG,,2.14
NTPC Ltd.,Energy,,2.10
Axis Bank Ltd.,Financials,,2.01
Tech Mahindra Ltd.,Technology,,1.84
TVS Motor Company Ltd.,Automobile and Ancillaries,,1.79
CG Power and Industrial Solutions Ltd.,Capital Goods,,1.78
Tata Consultancy Services Ltd.,Technology,,1.68
Ultratech Cement Ltd.,Construction,,1.64
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,1.58
JSW Steel Ltd.,Metals,,1.49
Divi's Laboratories Ltd.,Healthcare,,1.45
Max Healthcare Institute Ltd.,Healthcare,,1.38
Infosys Ltd.,Technology,,1.36
Eicher Motors Ltd.,Automobile and Ancillaries,,1.33
Mankind Pharma Ltd.,Healthcare,,1.29
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,,1.26
Power Finance Corporation Ltd.,Financials,,1.24
Sun Pharmaceutical Industries Ltd.,Healthcare,,1.23
ICICI Prudential Asset Management Company Ltd.,Financials,,1.20
Prestige Estates Projects Ltd.,Construction,,1.16
Asian Paints Ltd.,Chemicals,,1.15
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,1.09
Shriram Finance Ltd.,Financials,,1.03
Torrent Pharmaceuticals Ltd.,Healthcare,,1.03
Cummins India Ltd.,Automobile and Ancillaries,,1.03
Torrent Power Ltd.,Energy,,1.01
Vishal Mega Mart Ltd.,Retail and Other Services,,1.00
ICICI Lombard General Insurance Company Ltd.,Financials,,0.99
HDFC Life Insurance Company Ltd.,Financials,,0.97
Hindalco Industries Ltd.,Metals,,0.96
Nestle India Ltd.,FMCG,,0.95
LG Electronics India Ltd.,Consumer Durables,,0.87
United Spirits Ltd.,FMCG,,0.81
Dixon Technologies (India) Ltd.,Consumer Durables,,0.81
Solar Industries India Ltd.,Chemicals,,0.80
Bharat Electronics Ltd.,Capital Goods,,0.75
ITC Ltd.,FMCG,,0.72
Muthoot Finance Ltd.,Financials,,0.70
Britannia Industries Ltd.,FMCG,,0.68
Interglobe Aviation Ltd.,Travel,,0.59
Cholamandalam Investment and Finance Company Ltd.,Financials,,0.59
Tata Capital Ltd.,Financials,,0.54
Ashok Leyland Ltd.,Automobile and Ancillaries,,0.52
Power Grid Corporation Of India Ltd.,Energy,,0.51
Tata Steel Ltd.,Metals,,0.45
GE Vernova T&D India Ltd.,Capital Goods,,0.45
Persistent Systems Ltd.,Technology,,0.43
Total,,,97.56
Instrument,Asset Type,Rating,Assets&nbsp;%
364 Days Treasury Bill - 29-Oct-2026,Treasury Bills,SOVEREIGN,0.09
Total,,,0.09
Instrument,,,Asset Type,,,Assets&nbsp;%,,
TVS Motors Ltd. - (Prefernece Shares),,,Preference Shares,,,,0.05,,
Total,,,,,,,0.05,,
Instrument,,,Assets&nbsp;%,,
Clearing Corporation Of India Ltd.,,,2.20,,
Net Current Asset,,,0.07,,
Total,,,2.27,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
