Company,Sector,,Assets&nbsp;%
ICICI Bank Ltd.,Financials,,9.15
HDFC Bank Ltd.,Financials,,7.31
Reliance Industries Ltd.,Energy,,5.48
State Bank Of India,Financials,,4.73
Bharti Airtel Ltd.,Media and Communications,,4.12
Larsen & Toubro Ltd.,Infrastructure,,3.89
Axis Bank Ltd.,Financials,,3.10
Solar Industries India Ltd.,Chemicals,,2.78
Tata Consumer Products Ltd.,FMCG,,2.72
Torrent Pharmaceuticals Ltd.,Healthcare,,2.65
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.60
Infosys Ltd.,Technology,,2.53
NTPC Ltd.,Energy,,2.45
Eternal Ltd.,Retail and Other Services,,2.41
Kotak Mahindra Bank Ltd.,Financials,,2.21
Titan Company Ltd.,Retail and Other Services,,2.14
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,2.05
Bajaj Finance Ltd.,Financials,,1.96
Bharat Electronics Ltd.,Capital Goods,,1.95
Hitachi Energy India Ltd.,Capital Goods,,1.90
Max Healthcare Institute Ltd.,Healthcare,,1.81
GE Vernova T&D India Ltd.,Capital Goods,,1.70
Shriram Finance Ltd.,Financials,,1.67
CG Power and Industrial Solutions Ltd.,Capital Goods,,1.53
Max Financial Services Ltd.,Financials,,1.40
Ultratech Cement Ltd.,Construction,,1.29
Mphasis Ltd.,Technology,,1.24
Navin Fluorine International Ltd.,Chemicals,,1.23
Polycab India Ltd.,Capital Goods,,1.14
JSW Steel Ltd.,Metals,,1.12
Trent Ltd.,Retail and Other Services,,1.02
Tata Steel Ltd.,Metals,,0.98
Apollo Hospitals Enterprise Ltd.,Healthcare,,0.89
Hindalco Industries Ltd.,Metals,,0.88
UNO Minda Ltd.,Automobile and Ancillaries,,0.87
Tata Consultancy Services Ltd.,Technology,,0.87
JIO Financial Services Ltd.,Financials,,0.85
LG Electronics India Ltd.,Consumer Durables,,0.81
Tata Motors Ltd.,Automobile and Ancillaries,,0.80
ITC Ltd.,FMCG,,0.79
ICICI Prudential Asset Management Company Ltd.,Financials,,0.78
TVS Motor Company Ltd.,Automobile and Ancillaries,,0.75
HDFC Asset Management Company Ltd.,Financials,,0.73
Adani Ports and Special Economic Zone Ltd.,Infrastructure,,0.73
Sun Pharmaceutical Industries Ltd.,Healthcare,,0.71
JK Cement Ltd.,Construction,,0.71
Divi's Laboratories Ltd.,Healthcare,,0.66
Multi Commodity Exchange Of India Ltd.,Financials,,0.65
Cholamandalam Investment and Finance Company Ltd.,Financials,,0.61
Adani Enterprises Ltd.,Miscellaneous,,0.54
Adani Energy Solutions Ltd.,Energy,,0.50
Persistent Systems Ltd.,Technology,,0.35
SBI Life Insurance Company Ltd.,Financials,,0.31
Total,,,99.05
Instrument,Asset Type,Rating,Assets&nbsp;%
364 Days Treasury Bill - 09-Jul-2026,Treasury Bills,Sovereign,0.07
Total,,,0.07
Instrument,,,Asset Type,,,Assets&nbsp;%,,
TVS Motors Ltd. - (Prefernece Shares),,,Preference Shares,,,,0.02,,
Total,,,,,,,0.02,,
Instrument,,,Assets&nbsp;%,,
Tri-Party Repo (TREPS),,,1.09,,
Net Current Asset,,,-0.23,,
Total,,,0.86,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
