Company,Sector,,Assets&nbsp;%
HDFC Bank Ltd.,Financials,,6.90
ICICI Bank Ltd.,Financials,,5.15
State Bank Of India,Financials,,4.24
Bharti Airtel Ltd.,Media and Communications,,4.03
Larsen & Toubro Ltd.,Infrastructure,,3.27
Reliance Industries Ltd.,Energy,,3.18
Axis Bank Ltd.,Financials,,3.01
Bajaj Finance Ltd.,Financials,,2.76
Kotak Mahindra Bank Ltd.,Financials,,2.58
Torrent Pharmaceuticals Ltd.,Healthcare,,2.57
Apollo Hospitals Enterprise Ltd.,Healthcare,,2.50
Adani Ports and Special Economic Zone Ltd.,Infrastructure,,2.49
Shriram Finance Ltd.,Financials,,2.48
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.24
JSW Energy Ltd.,Energy,,2.14
Interglobe Aviation Ltd.,Travel,,1.90
United Spirits Ltd.,FMCG,,1.87
Titan Company Ltd.,Retail and Other Services,,1.85
Ultratech Cement Ltd.,Construction,,1.84
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,1.81
One97 Communications Ltd.,Financials,,1.72
Tech Mahindra Ltd.,Technology,,1.67
Bajaj Auto Ltd.,Automobile and Ancillaries,,1.67
The Indian Hotels Company Ltd.,Travel,,1.67
TVS Motor Company Ltd.,Automobile and Ancillaries,,1.65
360 One Wam Ltd.,Financials,,1.64
Tata Steel Ltd.,Metals,,1.59
Britannia Industries Ltd.,FMCG,,1.55
Hindalco Industries Ltd.,Metals,,1.53
Coforge Ltd.,Technology,,1.49
Infosys Ltd.,Technology,,1.49
Divi's Laboratories Ltd.,Healthcare,,1.47
Eternal Ltd.,Retail and Other Services,,1.46
Polycab India Ltd.,Capital Goods,,1.45
Trent Ltd.,Retail and Other Services,,1.42
Cummins India Ltd.,Automobile and Ancillaries,,1.38
NTPC Ltd.,Energy,,1.37
Dr. Reddy's Laboratories Ltd.,Healthcare,,1.33
Bharat Electronics Ltd.,Capital Goods,,1.22
Muthoot Finance Ltd.,Financials,,1.16
HDFC Life Insurance Company Ltd.,Financials,,1.15
SRF Ltd.,Chemicals,,1.10
Prestige Estates Projects Ltd.,Construction,,1.07
CG Power and Industrial Solutions Ltd.,Capital Goods,,1.07
LTM Ltd.,Technology,,1.00
Avenue Supermarts Ltd.,Retail and Other Services,,0.94
Tata Consumer Products Ltd.,FMCG,,0.92
Hindustan Zinc Ltd.,Metals,,0.91
Anirit Ventures Ltd.,Textile,,0.10
Total,,,97.00
Instrument,,,Assets&nbsp;%,,
Net Current Asset,,,2.51,,
Clearing Corporation Of India Ltd.,,,0.51,,
Total,,,3.02,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
