Company,Sector,,Assets&nbsp;%
HDFC Bank Ltd.,Financials,,8.77
ICICI Bank Ltd.,Financials,,8.20
Reliance Industries Ltd.,Energy,,5.76
Larsen & Toubro Ltd.,Infrastructure,,5.57
State Bank Of India,Financials,,3.56
Asian Paints Ltd.,Chemicals,,3.54
Axis Bank Ltd.,Financials,,3.36
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,,3.27
Infosys Ltd.,Technology,,3.24
HDFC Life Insurance Company Ltd.,Financials,,3.03
Tata Motors Ltd.,Automobile and Ancillaries,,2.92
Kotak Mahindra Bank Ltd.,Financials,,2.71
Avenue Supermarts Ltd.,Retail and Other Services,,2.45
Divi's Laboratories Ltd.,Healthcare,,2.43
Page Industries Ltd.,Textile,,2.38
Thermax Ltd.,Capital Goods,,2.30
Varun Beverages Ltd.,FMCG,,2.26
Shree Cement Ltd.,Construction,,2.18
Bharti Airtel Ltd.,Media and Communications,,2.15
Cholamandalam Investment and Finance Company Ltd.,Financials,,2.15
Mankind Pharma Ltd.,Healthcare,,1.88
Sun Pharmaceutical Industries Ltd.,Healthcare,,1.86
Tech Mahindra Ltd.,Technology,,1.66
Vedanta Aluminium Metal Ltd.,Metals,,1.41
Eternal Ltd.,Retail and Other Services,,1.39
Adani Enterprises Ltd.,Miscellaneous,,1.22
ICICI Prudential Asset Management Company Ltd.,Financials,,1.22
Sona BLW Precision Forgings Ltd.,Automobile and Ancillaries,,1.13
Interglobe Aviation Ltd.,Travel,,1.07
Hindustan Unilever Ltd.,FMCG,,1.06
PI Industries Ltd.,Chemicals,,1.05
Schaeffler India Ltd.,Automobile and Ancillaries,,1.00
GAIL (India) Ltd.,Energy,,0.91
ICICI Prudential Life Insurance Company Ltd.,Financials,,0.90
Brainbees Solutions Ltd.,Retail and Other Services,,0.82
ICICI Lombard General Insurance Company Ltd.,Financials,,0.81
Britannia Industries Ltd.,FMCG,,0.81
Ultratech Cement Ltd.,Construction,,0.71
JSW Steel Ltd.,Metals,,0.69
Adani Ports and Special Economic Zone Ltd.,Infrastructure,,0.66
Tata Steel Ltd.,Metals,,0.64
Motherson Sumi Wiring India Ltd.,Automobile and Ancillaries,,0.48
Indus Towers Ltd.,Media and Communications,,0.46
SKF India (Industrial) Ltd.,Automobile and Ancillaries,,0.42
Adani Energy Solutions Ltd.,Energy,,0.37
Torrent Power Ltd.,Energy,,0.29
SKF India Ltd.,Automobile and Ancillaries,,0.24
Cipla Ltd.,Healthcare,,0.19
Vedanta Ltd.,Metals,,0.14
Vedanta Power Ltd.,Energy,,0.08
Vedanta Iron And Steel Ltd.,Metals,,0.07
Vedanta Oil and Gas Ltd.,Metals,,0.06
Kwality Wall's (India) Ltd.,FMCG,,0.02
Total,,,97.95
Instrument,Asset Type,Rating,Assets&nbsp;%
91 Days Treasury Bill - 03-Sep-2026,Treasury Bills,Sovereign,0.63
364 Days Treasury Bill - 19-Nov-2026,Treasury Bills,Sovereign,0.12
Total,,,0.75
Instrument,,,Assets&nbsp;%,,
Tri-Party Repo (TREPS),,,1.48,,
Other Derivaties,,,0.04,,
Net Current Asset,,,-0.21,,
Total,,,1.31,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
