Company,Sector,,Assets&nbsp;%
HDFC Bank Ltd.,Financials,,8.11
ICICI Bank Ltd.,Financials,,6.44
Reliance Industries Ltd.,Energy,,5.57
Bharti Airtel Ltd.,Media and Communications,,5.50
Axis Bank Ltd.,Financials,,4.86
State Bank Of India,Financials,,4.80
Larsen & Toubro Ltd.,Infrastructure,,4.67
Bajaj Finance Ltd.,Financials,,3.61
Kotak Mahindra Bank Ltd.,Financials,,2.81
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.78
JSW Energy Ltd.,Energy,,2.66
Eternal Ltd.,Retail and Other Services,,2.40
NTPC Ltd.,Energy,,2.36
Cholamandalam Investment and Finance Company Ltd.,Financials,,2.31
Sun Pharmaceutical Industries Ltd.,Healthcare,,2.18
Adani Ports and Special Economic Zone Ltd.,Infrastructure,,2.10
Titan Company Ltd.,Retail and Other Services,,2.08
Shriram Finance Ltd.,Financials,,1.84
Bharat Electronics Ltd.,Capital Goods,,1.77
Ultratech Cement Ltd.,Construction,,1.62
KFin Technologies Ltd.,Financials,,1.60
Hindalco Industries Ltd.,Metals,,1.58
Apollo Hospitals Enterprise Ltd.,Healthcare,,1.55
IIFL Finance Ltd.,Financials,,1.52
Sanghvi Movers Ltd.,Logistics,,1.51
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,1.40
Shakti Pumps (India) Ltd.,Capital Goods,,1.37
Varun Beverages Ltd.,FMCG,,1.36
Tata Power Company Ltd.,Energy,,1.30
JSW Steel Ltd.,Metals,,1.28
The Indian Hotels Company Ltd.,Travel,,1.20
Cummins India Ltd.,Automobile and Ancillaries,,1.15
Hindustan Aeronautics Ltd.,Capital Goods,,1.08
Ambuja Cements Ltd.,Construction,,1.07
Godfrey Phillips India Ltd.,FMCG,,1.03
TVS Motor Company Ltd.,Automobile and Ancillaries,,1.03
Swiggy Ltd.,Retail and Other Services,,0.97
Britannia Industries Ltd.,FMCG,,0.93
PNB Housing Finance Ltd.,Financials,,0.92
Divi's Laboratories Ltd.,Healthcare,,0.86
SBI Life Insurance Company Ltd.,Financials,,0.81
Interglobe Aviation Ltd.,Travel,,0.72
DLF Ltd.,Construction,,0.71
Siemens Energy India Ltd.,Capital Goods,,0.57
ABB India Ltd.,Capital Goods,,0.54
Total,,,98.53
Instrument,,,Asset Type,,,Assets&nbsp;%,,
TVS Motors Ltd. - (Prefernece Shares),,,Preference Shares,,,,0.01,,
Total,,,,,,,0.01,,
Instrument,,,Assets&nbsp;%,,
Net Current Asset,,,1.44,,
Total,,,1.44,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
