Company,Sector,,Assets&nbsp;%
HDFC Bank Ltd.,Financials,,7.22
ICICI Bank Ltd.,Financials,,5.93
State Bank Of India,Financials,,5.05
Adani Ports and Special Economic Zone Ltd.,Infrastructure,,4.70
ICICI Prudential Asset Management Company Ltd.,Financials,,3.82
Reliance Industries Ltd.,Energy,,3.58
Dr. Reddy's Laboratories Ltd.,Healthcare,,2.96
Quality Power Electrical Equipments Ltd.,Capital Goods,,2.75
Vedanta Aluminium Metal Ltd.,Metals,,2.32
Axis Bank Ltd.,Financials,,2.25
Tata Steel Ltd.,Metals,,2.21
Sky Gold and Diamonds Ltd.,Retail and Other Services,,2.04
Tech Mahindra Ltd.,Technology,,1.97
Larsen & Toubro Ltd.,Infrastructure,,1.88
Bharat Electronics Ltd.,Capital Goods,,1.87
Apollo Hospitals Enterprise Ltd.,Healthcare,,1.85
Bank Of Baroda,Financials,,1.85
Bharti Airtel Ltd.,Media and Communications,,1.85
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,1.80
Ultratech Cement Ltd.,Construction,,1.79
JSW Steel Ltd.,Metals,,1.76
ITC Ltd.,FMCG,,1.69
CreditAccess Grameen Ltd.,Financials,,1.67
Hindustan Aeronautics Ltd.,Capital Goods,,1.65
Shriram Finance Ltd.,Financials,,1.62
Stylam Industries Ltd.,Construction,,1.55
Solar Industries India Ltd.,Chemicals,,1.54
HDFC Asset Management Company Ltd.,Financials,,1.53
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,,1.51
Power Grid Corporation Of India Ltd.,Energy,,1.48
Vedanta Ltd.,Metals,,1.45
Power Finance Corporation Ltd.,Financials,,1.42
Hindustan Unilever Ltd.,FMCG,,1.40
Britannia Industries Ltd.,FMCG,,1.38
Titan Company Ltd.,Retail and Other Services,,1.31
TD Power Systems Ltd.,Capital Goods,,1.21
Coforge Ltd.,Technology,,1.21
Bajaj Auto Ltd.,Automobile and Ancillaries,,1.15
SBI Life Insurance Company Ltd.,Financials,,1.13
Mazagon Dock Shipbuilders Ltd.,Automobile and Ancillaries,,1.13
Tata Motors Ltd.,Automobile and Ancillaries,,1.08
Kotak Mahindra Bank Ltd.,Financials,,1.02
Adani Power Ltd.,Energy,,1.02
NTPC Ltd.,Energy,,1.02
Mankind Pharma Ltd.,Healthcare,,0.97
OnEMI Technology Solutions Ltd.,Financials,,0.89
BSE Ltd.,Financials,,0.88
Balrampur Chini Mills Ltd.,FMCG,,0.87
Cemindia Projects Ltd.,Infrastructure,,0.59
TVS Srichakra Ltd.,Automobile and Ancillaries,,0.56
Pidilite Industries Ltd.,Chemicals,,0.25
Vedanta Power Ltd.,Energy,,0.21
Vedanta Iron And Steel Ltd.,Metals,,0.18
Canara Bank,Financials,,0.09
Total,,,98.11
Instrument,Asset Type,Rating,Assets&nbsp;%
364 Days Treasury Bill - 07-Jan-2027,Treasury Bills,SOVEREIGN,0.02
Total,,,0.02
Instrument,,,Assets&nbsp;%,,
Tri-Party Repo (TREPS),,,1.50,,
Net Current Asset,,,0.35,,
Total,,,1.85,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
