Company,Sector,,Assets&nbsp;%
Larsen & Toubro Ltd.,Infrastructure,,8.22
ICICI Bank Ltd.,Financials,,7.76
HDFC Bank Ltd.,Financials,,7.64
Bharti Airtel Ltd.,Media and Communications,,5.06
Cummins India Ltd.,Automobile and Ancillaries,,4.18
State Bank Of India,Financials,,3.82
Bajaj Finance Ltd.,Financials,,3.11
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.75
Axis Bank Ltd.,Financials,,2.49
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,,2.49
Bharat Electronics Ltd.,Capital Goods,,2.45
Cholamandalam Investment and Finance Company Ltd.,Financials,,2.44
Kotak Mahindra Bank Ltd.,Financials,,2.35
Ultratech Cement Ltd.,Construction,,2.31
Infosys Ltd.,Technology,,2.22
Tata Motors Passenger Vehicles Ltd.,Automobile and Ancillaries,,2.19
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,2.16
Torrent Pharmaceuticals Ltd.,Healthcare,,2.15
Eternal Ltd.,Retail and Other Services,,2.13
Avenue Supermarts Ltd.,Retail and Other Services,,1.88
Shriram Finance Ltd.,Financials,,1.87
SBI Life Insurance Company Ltd.,Financials,,1.85
Adani Ports and Special Economic Zone Ltd.,Infrastructure,,1.83
Coforge Ltd.,Technology,,1.79
Sun Pharmaceutical Industries Ltd.,Healthcare,,1.64
Bajaj Auto Ltd.,Automobile and Ancillaries,,1.60
DLF Ltd.,Construction,,1.56
BSE Ltd.,Financials,,1.44
Tata Steel Ltd.,Metals,,1.27
Tata Consultancy Services Ltd.,Technology,,1.16
NTPC Ltd.,Energy,,1.11
Ambuja Cements Ltd.,Construction,,1.11
Hindustan Unilever Ltd.,FMCG,,1.09
Hindalco Industries Ltd.,Metals,,0.99
JK Cement Ltd.,Construction,,0.92
Titan Company Ltd.,Retail and Other Services,,0.72
Indiqube Spaces Ltd.,Miscellaneous,,0.45
Max Healthcare Institute Ltd.,Healthcare,,0.40
PNGS Reva Diamond Jewellery Ltd.,Retail and Other Services,,0.38
Kwality Wall's (India) Ltd.,FMCG,,0.01
Total,,,92.99
Instrument,,,Asset Type,,,Assets&nbsp;%,,
ICICI Pru Nifty Metal ETF,,,Domestic Mutual Funds Units,,,,0.55,,
Total,,,,,,,0.55,,
Instrument,,,Assets&nbsp;%,,
Tri-Party Repo (TREPS),,,4.07,,
Net Current Asset,,,2.37,,
Total,,,6.44,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
