Company,Sector,,Assets&nbsp;%
ITC Ltd.,FMCG,,8.45
Divi's Laboratories Ltd.,Healthcare,,7.63
ICICI Bank Ltd.,Financials,,6.47
HDFC Bank Ltd.,Financials,,6.44
Bharti Airtel Ltd.,Media and Communications,,4.56
Mazagon Dock Shipbuilders Ltd.,Automobile and Ancillaries,,4.51
Reliance Industries Ltd.,Energy,,4.27
State Bank Of India,Financials,,3.91
Advit Jewels Ltd.,Retail and Other Services,,3.86
Power Grid Corporation Of India Ltd.,Energy,,3.21
DLF Ltd.,Construction,,2.84
Axis Bank Ltd.,Financials,,2.64
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.59
HCL Technologies Ltd.,Technology,,2.46
Infosys Ltd.,Technology,,2.31
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,2.21
TVS Motor Company Ltd.,Automobile and Ancillaries,,2.19
Grasim Industries Ltd.,Diversified,,2.05
Coal India Ltd.,Energy,,1.98
Union Bank Of India,Financials,,1.86
ABB India Ltd.,Capital Goods,,1.80
Dixon Technologies (India) Ltd.,Consumer Durables,,1.79
Tata Power Company Ltd.,Energy,,1.69
Hindustan Unilever Ltd.,FMCG,,1.68
The Indian Hotels Company Ltd.,Travel,,1.64
HDFC Asset Management Company Ltd.,Financials,,1.62
Persistent Systems Ltd.,Technology,,1.47
Insolation Energy Ltd.,Capital Goods,,1.41
Titan Company Ltd.,Retail and Other Services,,1.18
General Insurance Corporation of India,Financials,,1.16
Sun Pharmaceutical Industries Ltd.,Healthcare,,1.10
Power Finance Corporation Ltd.,Financials,,1.02
Tata Capital Ltd.,Financials,,0.94
Kotak Mahindra Bank Ltd.,Financials,,0.69
Narayana Hrudayalaya Ltd.,Healthcare,,0.51
Total,,,96.14
Instrument,,,Assets&nbsp;%,,
Net Current Asset,,,3.86,,
Total,,,3.86,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
