Company,Sector,,Assets&nbsp;%
HDFC Bank Ltd.,Financials,,9.91
ICICI Bank Ltd.,Financials,,8.53
Axis Bank Ltd.,Financials,,5.06
Reliance Industries Ltd.,Energy,,4.24
Larsen & Toubro Ltd.,Infrastructure,,3.85
Bajaj Finance Ltd.,Financials,,3.78
Sun Pharmaceutical Industries Ltd.,Healthcare,,2.81
Hindustan Unilever Ltd.,FMCG,,2.59
Infosys Ltd.,Technology,,2.55
ITC Ltd.,FMCG,,2.43
State Bank Of India,Financials,,2.43
Avenue Supermarts Ltd.,Retail and Other Services,,2.30
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.30
Tata Consultancy Services Ltd.,Technology,,2.10
GE Vernova T&D India Ltd.,Capital Goods,,2.09
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,2.00
NTPC Ltd.,Energy,,1.88
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,,1.77
Kotak Mahindra Bank Ltd.,Financials,,1.64
Eternal Ltd.,Retail and Other Services,,1.58
Trent Ltd.,Retail and Other Services,,1.51
Tata Power Company Ltd.,Energy,,1.46
Dr. Reddy's Laboratories Ltd.,Healthcare,,1.17
HDFC Life Insurance Company Ltd.,Financials,,1.14
SBI Life Insurance Company Ltd.,Financials,,1.12
Cipla Ltd.,Healthcare,,1.12
Lupin Ltd.,Healthcare,,1.07
Divi's Laboratories Ltd.,Healthcare,,1.06
Cholamandalam Investment and Finance Company Ltd.,Financials,,1.04
Tata Steel Ltd.,Metals,,1.02
The Indian Hotels Company Ltd.,Travel,,1.00
ABB India Ltd.,Capital Goods,,0.96
Chalet Hotels Ltd.,Travel,,0.95
Tata Consumer Products Ltd.,FMCG,,0.92
Swiggy Ltd.,Retail and Other Services,,0.90
PB Fintech Ltd.,Financials,,0.90
Siemens Energy India Ltd.,Capital Goods,,0.86
Mankind Pharma Ltd.,Healthcare,,0.84
Shree Cement Ltd.,Construction,,0.84
Vishal Mega Mart Ltd.,Retail and Other Services,,0.78
Dixon Technologies (India) Ltd.,Consumer Durables,,0.78
HCL Technologies Ltd.,Technology,,0.73
DLF Ltd.,Construction,,0.70
NTPC Green Energy Ltd.,Energy,,0.68
Siemens Ltd.,Capital Goods,,0.67
Vedanta Aluminium Metal Ltd.,Metals,,0.67
Tech Mahindra Ltd.,Technology,,0.66
Godrej Consumer Products Ltd.,FMCG,,0.65
EIH Ltd.,Travel,,0.65
SBI Cards And Payment Services Ltd.,Financials,,0.52
Hyundai Motor India Ltd.,Automobile and Ancillaries,,0.50
United Spirits Ltd.,FMCG,,0.50
United Breweries Ltd.,FMCG,,0.49
Jubilant FoodWorks Ltd.,FMCG,,0.49
Hindustan Aeronautics Ltd.,Capital Goods,,0.49
Gillette India Ltd.,FMCG,,0.49
Varun Beverages Ltd.,FMCG,,0.47
Meesho Ltd.,Retail and Other Services,,0.45
Colgate-Palmolive (India) Ltd.,FMCG,,0.45
Max Financial Services Ltd.,Financials,,0.42
Devyani International Ltd.,FMCG,,0.33
Linde India Ltd.,Energy,,0.30
PVR Inox Ltd.,Media and Communications,,0.18
ICICI Lombard General Insurance Company Ltd.,Financials,,0.10
Total,,,98.87
Instrument,,,Assets&nbsp;%,,
Net Current Asset,,,0.63,,
Tri-Party Repo (TREPS),,,0.52,,
Cash & Cash Equivalent,,,0.00,,
Total,,,1.15,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
