Company,Sector,,Assets&nbsp;%
ICICI Bank Ltd.,Financials,,9.73
HDFC Bank Ltd.,Financials,,7.92
Bharti Airtel Ltd.,Media and Communications,,5.66
Kotak Mahindra Bank Ltd.,Financials,,5.46
Reliance Industries Ltd.,Energy,,4.96
Titan Company Ltd.,Retail and Other Services,,4.65
Torrent Pharmaceuticals Ltd.,Healthcare,,3.77
Axis Bank Ltd.,Financials,,3.69
Bajaj Finserv Ltd.,Financials,,3.00
Lupin Ltd.,Healthcare,,2.86
Bajaj Auto Ltd.,Automobile and Ancillaries,,2.80
Infosys Ltd.,Technology,,2.49
Ambuja Cements Ltd.,Construction,,2.41
Cholamandalam Investment and Finance Company Ltd.,Financials,,2.40
State Bank Of India,Financials,,2.29
Larsen & Toubro Ltd.,Infrastructure,,2.09
Interglobe Aviation Ltd.,Travel,,2.06
Eternal Ltd.,Retail and Other Services,,2.05
NTPC Ltd.,Energy,,2.04
Max Healthcare Institute Ltd.,Healthcare,,1.91
Tata Motors Ltd.,Automobile and Ancillaries,,1.86
Mankind Pharma Ltd.,Healthcare,,1.79
United Spirits Ltd.,FMCG,,1.65
Vishal Mega Mart Ltd.,Retail and Other Services,,1.49
IndusInd Bank Ltd.,Financials,,1.46
Tata Consumer Products Ltd.,FMCG,,1.39
Havells India Ltd.,Capital Goods,,1.29
ICICI Prudential Asset Management Company Ltd.,Financials,,1.17
Swiggy Ltd.,Retail and Other Services,,1.13
Hyundai Motor India Ltd.,Automobile and Ancillaries,,1.07
Adani Ports and Special Economic Zone Ltd.,Infrastructure,,1.01
SRF Ltd.,Chemicals,,0.97
Eicher Motors Ltd.,Automobile and Ancillaries,,0.94
Tata Capital Ltd.,Financials,,0.77
Dabur India Ltd.,FMCG,,0.74
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,0.66
CG Power and Industrial Solutions Ltd.,Capital Goods,,0.66
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,0.62
Tata Motors Passenger Vehicles Ltd.,Automobile and Ancillaries,,0.48
DLF Ltd.,Construction,,0.34
Cummins India Ltd.,Automobile and Ancillaries,,0.33
Billionbrains Garage Ventures Ltd.,Financials,,0.30
Hindalco Industries Ltd.,Metals,,0.22
SBI Life Insurance Company Ltd.,Financials,,0.18
Total,,,96.76
Instrument,Asset Type,Rating,Assets&nbsp;%
06.68% GOI - 07-Jul-2040,Government Securities,Sovereign,0.50
Total,,,0.50
Instrument,,,Assets&nbsp;%,,
Tri-Party Repo (TREPS),,,2.64,,
Net Current Asset,,,0.08,,
Total,,,2.72,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
