Company,Sector,,Assets&nbsp;%
HDFC Bank Ltd.,Financials,,9.43
ICICI Bank Ltd.,Financials,,8.66
Bharti Airtel Ltd.,Media and Communications,,5.29
Reliance Industries Ltd.,Energy,,5.19
Larsen & Toubro Ltd.,Infrastructure,,3.57
Axis Bank Ltd.,Financials,,3.56
Infosys Ltd.,Technology,,3.45
State Bank Of India,Financials,,3.06
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.84
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,2.65
Eternal Ltd.,Retail and Other Services,,2.64
ITC Ltd.,FMCG,,2.38
Shriram Finance Ltd.,Financials,,1.94
Tata Consultancy Services Ltd.,Technology,,1.85
Bajaj Finance Ltd.,Financials,,1.83
Kotak Mahindra Bank Ltd.,Financials,,1.70
Britannia Industries Ltd.,FMCG,,1.51
Asian Paints Ltd.,Chemicals,,1.49
Apollo Hospitals Enterprise Ltd.,Healthcare,,1.43
Eicher Motors Ltd.,Automobile and Ancillaries,,1.42
One97 Communications Ltd.,Financials,,1.36
Sun Pharmaceutical Industries Ltd.,Healthcare,,1.35
HDFC Life Insurance Company Ltd.,Financials,,1.27
Godrej Consumer Products Ltd.,FMCG,,1.20
Vedanta Aluminium Metal Ltd.,Metals,,1.18
NTPC Ltd.,Energy,,1.14
Bharat Petroleum Corporation Ltd.,Energy,,1.13
Titan Company Ltd.,Retail and Other Services,,1.06
Varun Beverages Ltd.,FMCG,,1.03
Trent Ltd.,Retail and Other Services,,1.03
JSW Energy Ltd.,Energy,,1.01
Dr. Reddy's Laboratories Ltd.,Healthcare,,1.00
SBI Life Insurance Company Ltd.,Financials,,0.92
Siemens Energy India Ltd.,Capital Goods,,0.91
Ambuja Cements Ltd.,Construction,,0.91
The Indian Hotels Company Ltd.,Travel,,0.90
Lodha Developers Ltd.,Construction,,0.82
Sona BLW Precision Forgings Ltd.,Automobile and Ancillaries,,0.76
Adani Ports and Special Economic Zone Ltd.,Infrastructure,,0.74
Gland Pharma Ltd.,Healthcare,,0.73
Pidilite Industries Ltd.,Chemicals,,0.68
Power Finance Corporation Ltd.,Financials,,0.66
Siemens Ltd.,Capital Goods,,0.66
IndusInd Bank Ltd.,Financials,,0.65
FSN E-Commerce Ventures Ltd.,Retail and Other Services,,0.62
Kalpataru Projects International Ltd.,Infrastructure,,0.62
Interglobe Aviation Ltd.,Travel,,0.58
Gujarat Fluorochemicals Ltd.,Chemicals,,0.51
Avenue Supermarts Ltd.,Retail and Other Services,,0.49
Swiggy Ltd.,Retail and Other Services,,0.49
Jindal Steel Ltd.,Metals,,0.48
Billionbrains Garage Ventures Ltd.,Financials,,0.48
Mphasis Ltd.,Technology,,0.46
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,,0.45
Lenskart Solutions Ltd.,Healthcare,,0.43
Timken India Ltd.,Automobile and Ancillaries,,0.38
Bharat Electronics Ltd.,Capital Goods,,0.38
DLF Ltd.,Construction,,0.35
EPL Ltd.,FMCG,,0.33
SKF India (Industrial) Ltd.,Automobile and Ancillaries,,0.32
Hindustan Unilever Ltd.,FMCG,,0.32
GAIL (India) Ltd.,Energy,,0.32
Titagarh Rail Systems Ltd.,Automobile and Ancillaries,,0.30
KPIT Technologies Ltd.,Technology,,0.27
Indian Energy Exchange Ltd.,Energy,,0.25
Sobha Ltd.,Construction,,0.24
Ultratech Cement Ltd.,Construction,,0.24
PB Fintech Ltd.,Financials,,0.23
Tata Steel Ltd.,Metals,,0.18
Oil & Natural Gas Corporation Ltd.,Energy,,0.18
Solar Industries India Ltd.,Chemicals,,0.12
Gujarat Energy Ltd.,Energy,,0.11
Chemplast Sanmar Ltd.,Chemicals,,0.11
Restaurant Brands Asia Ltd.,Retail and Other Services,,0.09
Vedanta Power Ltd.,Energy,,0.08
Cipla Ltd.,Healthcare,,0.00
L&T Finance Ltd.,Financials,,0.00
ABB India Ltd.,Capital Goods,,0.00
Torrent Pharmaceuticals Ltd.,Healthcare,,0.00
Kalyan Jewellers India Ltd.,Retail and Other Services,,0.00
Total,,,99.40
Instrument,,,Asset Type,,,Assets&nbsp;%,,
Mirae Asset Cash Management(G)-Direct Plan,,,Domestic Mutual Funds Units,,,,0.17,,
Total,,,,,,,0.17,,
Instrument,,,Assets&nbsp;%,,
Tri-Party Repo (TREPS),,,0.82,,
Net Current Asset,,,-0.35,,
Total,,,0.47,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
