Company,Sector,,Assets&nbsp;%
ICICI Bank Ltd.,Financials,,9.06
HDFC Bank Ltd.,Financials,,7.22
Larsen & Toubro Ltd.,Infrastructure,,5.04
Reliance Industries Ltd.,Energy,,4.78
Bharti Airtel Ltd.,Media and Communications,,4.74
Bajaj Finance Ltd.,Financials,,3.77
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,3.53
Axis Bank Ltd.,Financials,,3.41
Infosys Ltd.,Technology,,3.12
Kotak Mahindra Bank Ltd.,Financials,,3.06
Ultratech Cement Ltd.,Construction,,2.98
Apollo Hospitals Enterprise Ltd.,Healthcare,,2.84
Sun Pharmaceutical Industries Ltd.,Healthcare,,2.79
Eternal Ltd.,Retail and Other Services,,2.77
Titan Company Ltd.,Retail and Other Services,,2.43
State Bank Of India,Financials,,2.31
Divi's Laboratories Ltd.,Healthcare,,1.80
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,,1.76
Pidilite Industries Ltd.,Chemicals,,1.62
NTPC Ltd.,Energy,,1.54
Interglobe Aviation Ltd.,Travel,,1.43
Cholamandalam Investment and Finance Company Ltd.,Financials,,1.30
Tech Mahindra Ltd.,Technology,,1.20
CG Power and Industrial Solutions Ltd.,Capital Goods,,1.16
Bharat Electronics Ltd.,Capital Goods,,1.14
Tata Consumer Products Ltd.,FMCG,,1.11
TVS Motor Company Ltd.,Automobile and Ancillaries,,1.09
Solar Industries India Ltd.,Chemicals,,1.07
Torrent Pharmaceuticals Ltd.,Healthcare,,1.03
Varun Beverages Ltd.,FMCG,,1.01
Britannia Industries Ltd.,FMCG,,0.98
Trent Ltd.,Retail and Other Services,,0.97
Shriram Finance Ltd.,Financials,,0.93
Tata Consultancy Services Ltd.,Technology,,0.90
United Spirits Ltd.,FMCG,,0.79
Hyundai Motor India Ltd.,Automobile and Ancillaries,,0.73
Cipla Ltd.,Healthcare,,0.69
The Indian Hotels Company Ltd.,Travel,,0.64
Cummins India Ltd.,Automobile and Ancillaries,,0.61
Avenue Supermarts Ltd.,Retail and Other Services,,0.56
SRF Ltd.,Chemicals,,0.52
Max Healthcare Institute Ltd.,Healthcare,,0.48
ICICI Prudential Asset Management Company Ltd.,Financials,,0.34
LG Electronics India Ltd.,Consumer Durables,,0.27
Tata Steel Ltd.,Metals,,0.26
Total,,,91.78
Instrument,,,Asset Type,,,Assets&nbsp;%,,
Nifty 50,,,Derivatives-Futures,,,,2.40,,
Axis Money Market Fund(G)-Direct Plan,,,Domestic Mutual Funds Units,,,,1.18,,
Axis Nifty ETF,,,Domestic Mutual Funds Units,,,,0.84,,
Grasim Industries Ltd.,,,Derivatives-Futures,,,,0.51,,
Total,,,,,,,4.93,,
Instrument,,,Assets&nbsp;%,,
Clearing Corporation Of India Ltd.,,,5.66,,
Net Current Asset,,,-2.37,,
Total,,,3.29,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
