Company,Sector,,Assets&nbsp;%
ICICI Bank Ltd.,Financials,,7.74
HDFC Bank Ltd.,Financials,,7.01
Reliance Industries Ltd.,Energy,,5.08
Axis Bank Ltd.,Financials,,4.06
Kotak Mahindra Bank Ltd.,Financials,,3.63
Infosys Ltd.,Technology,,3.58
State Bank Of India,Financials,,3.51
Bharti Airtel Ltd.,Media and Communications,,3.49
Larsen & Toubro Ltd.,Infrastructure,,3.32
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,3.17
Eternal Ltd.,Retail and Other Services,,2.23
Sun Pharmaceutical Industries Ltd.,Healthcare,,2.00
United Spirits Ltd.,FMCG,,1.79
Adani Energy Solutions Ltd.,Energy,,1.68
SBI Life Insurance Company Ltd.,Financials,,1.68
Hindalco Industries Ltd.,Metals,,1.65
Shriram Finance Ltd.,Financials,,1.52
NTPC Ltd.,Energy,,1.44
Trent Ltd.,Retail and Other Services,,1.37
Bajaj Auto Ltd.,Automobile and Ancillaries,,1.34
Ultratech Cement Ltd.,Construction,,1.34
Godrej Consumer Products Ltd.,FMCG,,1.32
Bajaj Finserv Ltd.,Financials,,1.23
Apollo Hospitals Enterprise Ltd.,Healthcare,,1.20
HCL Technologies Ltd.,Technology,,1.18
Avenue Supermarts Ltd.,Retail and Other Services,,1.15
Sona BLW Precision Forgings Ltd.,Automobile and Ancillaries,,1.15
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,1.14
Titan Company Ltd.,Retail and Other Services,,1.14
Mankind Pharma Ltd.,Healthcare,,1.11
Meesho Ltd.,Retail and Other Services,,1.09
Persistent Systems Ltd.,Technology,,1.08
Bajaj Finance Ltd.,Financials,,1.08
Lenskart Solutions Ltd.,Healthcare,,1.05
PNB Housing Finance Ltd.,Financials,,1.04
Tech Mahindra Ltd.,Technology,,1.03
Jindal Steel Ltd.,Metals,,1.00
TVS Motor Company Ltd.,Automobile and Ancillaries,,0.97
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,,0.91
Aditya Birla Capital Ltd.,Financials,,0.87
Cholamandalam Investment and Finance Company Ltd.,Financials,,0.86
JSW Dulux Ltd.,Chemicals,,0.82
Hindustan Unilever Ltd.,FMCG,,0.80
Britannia Industries Ltd.,FMCG,,0.78
ICICI Lombard General Insurance Company Ltd.,Financials,,0.76
Cummins India Ltd.,Automobile and Ancillaries,,0.74
Bharat Forge Ltd.,Automobile and Ancillaries,,0.63
HDFC Life Insurance Company Ltd.,Financials,,0.61
Hindustan Aeronautics Ltd.,Capital Goods,,0.57
Emami Ltd.,FMCG,,0.55
Sanofi Consumer Healthcare India Ltd.,Healthcare,,0.54
Vedanta Aluminium Metal Ltd.,Metals,,0.54
DLF Ltd.,Construction,,0.53
Adani Power Ltd.,Energy,,0.52
Bharat Petroleum Corporation Ltd.,Energy,,0.51
Bayer CropScience Ltd.,Chemicals,,0.47
Bandhan Bank Ltd.,Financials,,0.46
Ajanta Pharma Ltd.,Healthcare,,0.46
Whirlpool Of India Ltd.,Consumer Durables,,0.44
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,,0.38
The Federal Bank Ltd.,Financials,,0.38
PI Industries Ltd.,Chemicals,,0.37
Delhivery Ltd.,Logistics,,0.37
Varun Beverages Ltd.,FMCG,,0.34
Pine Labs Ltd.,Financials,,0.31
Vedanta Ltd.,Metals,,0.31
Honeywell Automation India Ltd.,Consumer Durables,,0.29
Sanofi India Ltd.,Healthcare,,0.29
Sobha Ltd.,Construction,,0.28
Afcons Infrastructure Ltd.,Infrastructure,,0.26
Ambuja Cements Ltd.,Construction,,0.23
CG Power and Industrial Solutions Ltd.,Capital Goods,,0.18
Total,,,98.95
Instrument,Asset Type,Rating,Assets&nbsp;%
91 Days Treasury Bill -  20-Aug-2026,Treasury Bills,Sov,0.17
07.38% GOI - 20-Jun-2027,Government Securities,Sov,0.12
Total,,,0.29
Instrument,,,Asset Type,,,Assets&nbsp;%,,
Aditya Birla SL Nifty Next 50 ETF,,,Domestic Mutual Funds Units,,,,0.17,,
TVS Motors Ltd. - (Prefernece Shares),,,Preference Shares,,,,0.00,,
Total,,,,,,,0.17,,
Instrument,,,Assets&nbsp;%,,
Clearing Corporation Of India Ltd.,,,0.30,,
Net Current Asset,,,0.20,,
Other Derivaties,,,0.07,,
Cash & Cash Equivalent,,,0.00,,
Total,,,0.57,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
