Company,Sector,,Assets&nbsp;%
HDFC Bank Ltd.,Financials,,8.54
ICICI Bank Ltd.,Financials,,8.32
Reliance Industries Ltd.,Energy,,4.96
Bharti Airtel Ltd.,Media and Communications,,4.62
Larsen & Toubro Ltd.,Infrastructure,,4.33
State Bank Of India,Financials,,4.28
Axis Bank Ltd.,Financials,,3.54
Bajaj Finance Ltd.,Financials,,3.30
Infosys Ltd.,Technology,,3.27
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.98
Kotak Mahindra Bank Ltd.,Financials,,2.41
Eternal Ltd.,Retail and Other Services,,2.35
Ultratech Cement Ltd.,Construction,,2.35
Sun Pharmaceutical Industries Ltd.,Healthcare,,1.65
Max Healthcare Institute Ltd.,Healthcare,,1.55
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,1.48
Varun Beverages Ltd.,FMCG,,1.48
Cholamandalam Investment and Finance Company Ltd.,Financials,,1.47
Interglobe Aviation Ltd.,Travel,,1.45
The Indian Hotels Company Ltd.,Travel,,1.42
Divi's Laboratories Ltd.,Healthcare,,1.36
Tata Steel Ltd.,Metals,,1.34
Shriram Finance Ltd.,Financials,,1.32
Hindustan Unilever Ltd.,FMCG,,1.29
Tech Mahindra Ltd.,Technology,,1.24
Titan Company Ltd.,Retail and Other Services,,1.24
Tata Consumer Products Ltd.,FMCG,,1.21
Bharat Electronics Ltd.,Capital Goods,,1.21
United Spirits Ltd.,FMCG,,1.17
Tata Consultancy Services Ltd.,Technology,,1.12
NTPC Ltd.,Energy,,1.11
Hindustan Aeronautics Ltd.,Capital Goods,,1.05
ITC Ltd.,FMCG,,1.03
SBI Life Insurance Company Ltd.,Financials,,1.03
CG Power and Industrial Solutions Ltd.,Capital Goods,,1.02
PB Fintech Ltd.,Financials,,1.00
Trent Ltd.,Retail and Other Services,,0.99
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,,0.96
Vishal Mega Mart Ltd.,Retail and Other Services,,0.95
Torrent Pharmaceuticals Ltd.,Healthcare,,0.95
TVS Motor Company Ltd.,Automobile and Ancillaries,,0.88
Bajaj Auto Ltd.,Automobile and Ancillaries,,0.86
Britannia Industries Ltd.,FMCG,,0.74
Multi Commodity Exchange Of India Ltd.,Financials,,0.70
Mankind Pharma Ltd.,Healthcare,,0.60
Info Edge (India) Ltd.,Technology,,0.55
UNO Minda Ltd.,Automobile and Ancillaries,,0.54
Tata Power Company Ltd.,Energy,,0.53
Asian Paints Ltd.,Chemicals,,0.51
HDFC Asset Management Company Ltd.,Financials,,0.47
Abbott India Ltd.,Healthcare,,0.41
Oberoi Realty Ltd.,Construction,,0.40
ICICI Prudential Asset Management Company Ltd.,Financials,,0.38
PI Industries Ltd.,Chemicals,,0.33
Lenskart Solutions Ltd.,Healthcare,,0.33
Tata Motors Ltd.,Automobile and Ancillaries,,0.28
Dr. Reddy's Laboratories Ltd.,Healthcare,,0.22
SRF Ltd.,Chemicals,,0.17
Kwality Wall's (India) Ltd.,FMCG,,0.01
Total,,,97.25
Instrument,,,Asset Type,,,Assets&nbsp;%,,
TVS Motors Ltd. - (Prefernece Shares),,,Preference Shares,,,,0.01,,
Total,,,,,,,0.01,,
Instrument,,,Assets&nbsp;%,,
Tri-Party Repo (TREPS),,,2.52,,
Net Current Asset,,,0.20,,
Total,,,2.72,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
