Company,Sector,,Assets&nbsp;%
HDFC Bank Ltd.,Financials,,9.82
ICICI Bank Ltd.,Financials,,9.52
Reliance Industries Ltd.,Energy,,5.18
Kotak Mahindra Bank Ltd.,Financials,,4.60
Infosys Ltd.,Technology,,4.30
Bharti Airtel Ltd.,Media and Communications,,4.12
Larsen & Toubro Ltd.,Infrastructure,,4.08
Bajaj Finance Ltd.,Financials,,3.96
Eternal Ltd.,Retail and Other Services,,3.03
Axis Bank Ltd.,Financials,,2.98
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,2.02
Ultratech Cement Ltd.,Construction,,1.99
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,1.74
Hindustan Aeronautics Ltd.,Capital Goods,,1.69
Avenue Supermarts Ltd.,Retail and Other Services,,1.48
State Bank Of India,Financials,,1.38
HDFC Life Insurance Company Ltd.,Financials,,1.37
Tata Consumer Products Ltd.,FMCG,,1.29
Tech Mahindra Ltd.,Technology,,1.26
Tata Consultancy Services Ltd.,Technology,,1.26
Titan Company Ltd.,Retail and Other Services,,1.21
Tata Motors Passenger Vehicles Ltd.,Automobile and Ancillaries,,1.19
ITC Ltd.,FMCG,,1.16
Bajaj Auto Ltd.,Automobile and Ancillaries,,1.09
LTM Ltd.,Technology,,1.07
Jindal Stainless Ltd.,Metals,,1.07
Oil & Natural Gas Corporation Ltd.,Energy,,1.03
Metropolis Healthcare Ltd.,Healthcare,,1.02
SBI Life Insurance Company Ltd.,Financials,,1.02
Coal India Ltd.,Energy,,1.01
Mankind Pharma Ltd.,Healthcare,,1.01
Power Grid Corporation Of India Ltd.,Energy,,1.01
PB Fintech Ltd.,Financials,,1.00
Info Edge (India) Ltd.,Technology,,0.98
IndusInd Bank Ltd.,Financials,,0.94
Asian Paints Ltd.,Chemicals,,0.92
Dr. Reddy's Laboratories Ltd.,Healthcare,,0.92
Lupin Ltd.,Healthcare,,0.89
LG Electronics India Ltd.,Consumer Durables,,0.81
DLF Ltd.,Construction,,0.81
Astral Ltd.,Consumer Durables,,0.75
Tata Steel Ltd.,Metals,,0.74
Jubilant FoodWorks Ltd.,FMCG,,0.72
Adani Ports and Special Economic Zone Ltd.,Infrastructure,,0.70
Max Healthcare Institute Ltd.,Healthcare,,0.64
Dixon Technologies (India) Ltd.,Consumer Durables,,0.58
Hyundai Motor India Ltd.,Automobile and Ancillaries,,0.57
Bharat Petroleum Corporation Ltd.,Energy,,0.56
Metro Brands Ltd.,Retail and Other Services,,0.55
Sun Pharmaceutical Industries Ltd.,Healthcare,,0.51
SRF Ltd.,Chemicals,,0.47
Varun Beverages Ltd.,FMCG,,0.46
Vedanta Aluminium Metal Ltd.,Metals,,0.38
HCL Technologies Ltd.,Technology,,0.37
Trent Ltd.,Retail and Other Services,,0.36
Balkrishna Industries Ltd.,Automobile and Ancillaries,,0.27
Interglobe Aviation Ltd.,Travel,,0.22
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,,0.20
Polycab India Ltd.,Capital Goods,,0.09
Vedanta Power Ltd.,Energy,,0.03
Vedanta Oil and Gas Ltd.,Metals,,0.03
Shubh Shanti Services Ltd,Financials,,0.00
Total,,,96.43
Instrument,Asset Type,Rating,Assets&nbsp;%
06.75% GOI - 23-Dec-2029,Government Securities,SOV,0.42
Clearing Corporation Of India Ltd.,Deposits (Placed as Margin),Deposits,0.00
Total,,,0.42
Instrument,,,Assets&nbsp;%,,
Net Current Asset,,,3.17,,
Total,,,3.17,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
