Company Name,Sector,Number of Funds,Funds Holding This Stock,Yahoo_Ticker,Current Price (INR),90-Day ADV (Shares),Amihud Measure
ICICI Bank Ltd.,Financials,33,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Quant Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Taurus Large Cap Fund-Reg",ICICIBANK.NS,1432.9,15055351.0,5.014627955811347e-13
Axis Bank Ltd.,Financials,32,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Taurus Large Cap Fund-Reg",AXISBANK.NS,1227.3,7190618.0,1.1597703288130445e-12
Bharti Airtel Ltd.,Media and Communications,32,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Quant Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Taurus Large Cap Fund-Reg",BHARTIARTL.NS,1898.2,8003391.0,7.602353488423838e-13
Larsen & Toubro Ltd.,Infrastructure,32,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Quant Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg",LT.NS,3785.6,2131973.0,1.1679485733374335e-12
HDFC Bank Ltd.,Financials,32,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Taurus Large Cap Fund-Reg",HDFCBANK.NS,742.8,34446240.0,4.145748874884223e-13
State Bank Of India,Financials,32,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg, Taurus Large Cap Fund-Reg",SBIN.NS,1015.0,13787763.0,7.708843427746372e-13
Kotak Mahindra Bank Ltd.,Financials,30,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Taurus Large Cap Fund-Reg",KOTAKBANK.NS,384.75,17118025.0,1.6673432708036543e-12
Reliance Industries Ltd.,Energy,30,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Taurus Large Cap Fund-Reg",RELIANCE.NS,1278.0,15810259.0,5.047342639726082e-13
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,29,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Taurus Large Cap Fund-Reg",M&M.NS,3161.4,2837575.0,1.607279664296458e-12
Infosys Ltd.,Technology,29,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, Groww Largecap Fund-Reg, Taurus Large Cap Fund-Reg",INFY.NS,1040.9,14082499.0,1.098241145338479e-12
