Funds,AUM(in Rs. cr)
ICICI Pru Large Cap Fund(G),79420.7
SBI Large Cap Fund-Reg(G),55064
Nippon India Large Cap Fund(G),53227
HDFC Large Cap Fund(G),39023.7
Mirae Asset Large Cap Fund-Reg(G),38379.3
Axis Large Cap Fund-Reg(G),30004.6
Aditya Birla SL Large Cap Fund-Reg(G),29029.3
Canara Rob Large Cap Fund-Reg(G),16692.3
UTI Large Cap Fund-Reg(G),11975.7
Kotak Large Cap Fund(G),10772.3
Franklin India Large Cap Fund(G),7255.7
DSP Large Cap Fund-Reg(G),7175.4
Quant Large Cap Fund-Reg(G),3388.3
Motilal Oswal Large Cap Fund-Reg(G),3189.1
Sundaram Large Cap Fund-Reg(G),3063
Tata Large Cap Fund-Reg(G),2721.3
Baroda BNP Paribas Large Cap Fund-Reg(G),2570.6
Bandhan Large Cap Fund-Reg(G),2000.9
Invesco India Largecap Fund-Reg(G),1847.4
HSBC Large Cap Fund(G),1814.2
Bajaj Finserv Large Cap Fund-Reg(G),1606.7
Edelweiss Large Cap Fund-Reg(G),1434.3
LIC MF Large Cap Fund-Reg(G),1362.5
WOC Large Cap Fund-Reg(G),1210.1
Parag Parikh Large Cap Fund-Reg(G),787.7
Mahindra Manulife Large Cap Fund-Reg(G),699.8
PGIM India Large Cap Fund(G),539.5
Union Largecap Fund-Reg(G),436.7
JM Large Cap Fund-Reg(G),409.1
ITI Large Cap Fund-Reg(G),370.3
Bank of India Large Cap Fund-Reg(G),220.4
Groww Largecap Fund-Reg(G),128.8
Samco Large Cap Fund-Reg(G),102.5
Taurus Large Cap Fund-Reg(G),51.9
